Year,Month,Peak (MW),Energy (MWh)
2019,1,58196,30208364
2019,2,56235,26375499
2019,3,49612,27385915
2019,4,54108,27527645
2019,5,61992,32260717
2019,6,70089,36557382
2019,7,72543,39736625
2019,8,74853,40622198
2019,9,68803,34781250
2019,10,61034,30642579
2019,11,49585,27603162
2019,12,58027,30784922
2020,1,61150,31488762
2020,2,58471,28622329
2020,3,51838,28789446
2020,4,56365,28908360
2020,5,64233,33743686
2020,6,72309,38073668
2020,7,74529,41156010
2020,8,76845,42033731
2020,9,70768,36063909
2020,10,62989,31878783
2020,11,51233,28587306
2020,12,59660,31806730
2021,1,62782,32519479
2021,2,59950,28443289
2021,3,53350,29650941
2021,4,57902,29778621
2021,5,65786,34716289
2021,6,74307,39364307
2021,7,76505,42517985
2021,8,78824,43398412
2021,9,72728,37289017
2021,10,64848,32987945
2021,11,52938,29583305
2021,12,61397,32857062
2022,1,64449,33583275
2022,2,61735,29397508
2022,3,55140,30688793
2022,4,59798,30848761
2022,5,67743,35928526
2022,6,75932,40447266
2022,7,78134,43667516
2022,8,80455,44552255
2022,9,74363,38324978
2022,10,66481,33968033
2022,11,54516,30475555
2022,12,62978,33782695
2023,1,65967,34517563
2023,2,63367,30237559
2023,3,56806,31612124
2023,4,61447,31778208
2023,5,69393,36962166
2023,6,77582,41547339
2023,7,79783,44831907
2023,8,82101,45717375
2023,9,76007,39367848
2023,10,68117,34951728
2023,11,56112,31365864
2023,12,64566,34705458
2024,1,67491,35445531
2024,2,64998,32152033
2024,3,58465,32525184
2024,4,63074,32694808
2024,5,71017,37979073
2024,6,79203,42627701
2024,7,81401,45974364
2024,8,83716,46860197
2024,9,77621,40391093
2024,10,69726,35917808
2024,11,57681,32243375
2024,12,66141,35614846
2025,1,69002,36361946
2025,2,66611,31891978
2025,3,60110,33425793
2025,4,64682,33600915
2025,5,72625,38986639
2025,6,80813,43700509
2025,7,83011,47111263
2025,8,85327,47999671
2025,9,79234,41413161
2025,10,71334,36884386
2025,11,59270,33121369
2025,12,67724,36526990
2026,1,70544,37281719
2026,2,68241,32718106
2026,3,61781,34332253
2026,4,66307,34512579
2026,5,74242,39999570
2026,6,82430,44777949
2026,7,84626,48251556
2026,8,86940,49140601
2026,9,80845,42434440
2026,10,72939,37848096
2026,11,60854,33994742
2026,12,69311,37431985
2027,1,72072,38191727
2027,2,69863,33533197
2027,3,63430,35224522
2027,4,67903,35406904
2027,5,75824,40990478
2027,6,84008,45829289
2027,7,86198,49361424
2027,8,88508,50248394
2027,9,82407,43423739
2027,10,74490,38779635
2027,11,62382,34837388
2027,12,70856,38303826
2028,1,73546,39067288
2028,2,71429,35514760
2028,3,65037,36083708
2028,4,69442,36268196
2028,5,77349,41944928
2028,6,85528,46842486
2028,7,87714,50431881
2028,8,90021,51318117
2028,9,83917,44380421
2028,10,75994,39681873
2028,11,63871,35655351
2028,12,72349,39151512
