,COAST,EAST,FWEST,NORTH,NCENT,SOUTH,SCENT,WEST,ERCOT
2017-01-01 00:00:00-06:00,8791.789509,896.7463019,1997.7176349,683.6219856,9239.1532852,2366.6327453,4490.7813653,954.1928638,29420.635691
2017-01-01 01:00:00-06:00,8569.708419,865.9305675,1997.7813193,677.9693746,9104.997245,2332.7446301,4370.6568297,951.025166,28870.8135512
2017-01-01 02:00:00-06:00,8326.4256382,839.0511751,1993.69916,671.9989488,8988.0352014,2237.5062023,4210.6500026,944.3577495,28211.7240779
2017-01-01 03:00:00-06:00,8137.4973998,822.8293316,1995.5408764,675.2679712,8979.148462,2178.1022651,4088.7130387,943.1887027,27820.2880475
2017-01-01 04:00:00-06:00,8011.8695807,814.0161882,1995.2535012,663.6198753,9033.5476357,2133.9538698,4021.7570945,954.9379317,27628.9556771
2017-01-01 05:00:00-06:00,7978.0996635,823.4193556,1981.3518974,669.7479599,9195.1579667,2122.0165527,4045.3003208,972.5624136,27787.6561302
2017-01-01 06:00:00-06:00,8057.1243841,844.9511071,1983.2769996,684.4893333,9507.3470215,2146.5621611,4156.6659307,993.6403519,28374.0572893
2017-01-01 07:00:00-06:00,8125.7604799,874.5760299,2015.3130945,710.2305418,9881.5956575,2137.6450427,4286.0821056,1019.3438324,29050.5467843
2017-01-01 08:00:00-06:00,8289.1584212,919.2606824,2008.2480722,728.1655965,10215.3124077,2185.3270126,4441.3570225,1033.3390417,29820.1682568
2017-01-01 09:00:00-06:00,8646.5238498,956.2144706,2024.8212535,727.7709639,10566.1375188,2305.2970144,4604.2385194,1017.3893365,30848.3929269
2017-01-01 10:00:00-06:00,8978.7981983,967.6840149,2018.1112281,716.5707582,10712.3713422,2434.9921917,4684.3671632,987.1091427,31500.0040393
2017-01-01 11:00:00-06:00,9315.5701483,982.3042333,2017.9488408,702.5266487,10650.5570845,2580.5191402,4772.0207585,958.7042925,31980.1511468
2017-01-01 12:00:00-06:00,9617.396281,991.871744,2015.2576958,687.07475,10447.3722332,2711.9061845,4857.10425,944.4910619,32272.4742004
2017-01-01 13:00:00-06:00,9837.8894332,991.4246346,2003.0866896,671.2696139,10139.1681657,2812.9278187,4936.6960459,938.313031,32330.7754326
2017-01-01 14:00:00-06:00,9957.5787299,984.5939246,2000.1458094,655.47908,9846.5486757,2887.1607006,5008.4579598,933.8563359,32273.8212159
2017-01-01 15:00:00-06:00,9987.9394023,986.0993592,1993.025466,651.8824857,9711.2881224,2937.5590272,5085.1886542,935.2008967,32288.1834137
2017-01-01 16:00:00-06:00,9943.9003641,992.3903765,1996.4319007,656.841392,9691.929646,2944.8057994,5158.525565,935.855016,32320.6800597
2017-01-01 17:00:00-06:00,10181.0106117,1046.6441793,2010.4510147,689.5193309,10172.8706025,2935.5545278,5311.2706466,951.0120137,33298.3329272
2017-01-01 18:00:00-06:00,10583.5104381,1101.3364913,2072.1819585,722.7240241,10841.2834895,3079.7352671,5683.428701,1007.2100687,35091.4104383
2017-01-01 19:00:00-06:00,10451.0130529,1091.2418769,2082.8480678,717.7682429,10772.9864037,3048.9818139,5630.1136271,1011.357081,34806.3101662
2017-01-01 20:00:00-06:00,10230.5879712,1067.0742105,2078.9387483,707.3761737,10547.1994722,2976.8756169,5462.0923311,991.2344696,34061.3789935
2017-01-01 21:00:00-06:00,10014.8266896,1028.1827525,2064.6676599,689.7762693,10255.3656652,2897.0844667,5245.1999277,966.2365843,33161.3400152
2017-01-01 22:00:00-06:00,9667.7079357,972.0676055,2043.0014608,658.1911028,9736.2174678,2789.2735292,4925.2607612,920.2505666,31711.9704296
2017-01-01 23:00:00-06:00,9287.6971676,907.8821962,2025.3609911,629.6071842,9152.374076,2651.3807802,4569.6110573,884.6131378,30108.5265904
2017-01-02 00:00:00-06:00,8836.8271967,860.940482,1999.5262209,609.4365447,8568.2189299,2496.3723027,4252.43599,882.146923,28505.9045899
2017-01-02 01:00:00-06:00,8588.1714967,825.6095364,2002.3309864,595.9826382,8163.5988299,2395.2664375,4057.9692799,859.6287644,27488.5579694
2017-01-02 02:00:00-06:00,8480.7760834,808.3112821,2006.8793354,592.7754566,7917.0378324,2322.7462005,3939.5642242,851.1110065,26919.2014211
2017-01-02 03:00:00-06:00,8506.0192689,806.1627583,2020.2998458,593.5331554,7850.3688081,2288.8724281,3917.0147118,850.2879001,26832.5588765
2017-01-02 04:00:00-06:00,8644.6950213,814.8047836,2053.6492149,605.846932,7966.7568237,2283.8731724,3965.0315145,860.006069,27194.6635314
2017-01-02 05:00:00-06:00,8887.0011203,844.2621659,2070.9594036,624.7569705,8324.0976273,2329.9658766,4112.2705587,894.3053997,28087.6191226
2017-01-02 06:00:00-06:00,9176.4707803,892.2438526,2114.5489938,653.3571986,8843.1814021,2437.7129807,4348.90231,955.4666561,29421.8841742
2017-01-02 07:00:00-06:00,9323.773465,930.9259696,2159.5680821,681.8993637,9260.5774195,2470.5366205,4530.6099017,1007.5796769,30365.470499
2017-01-02 08:00:00-06:00,9559.8798479,965.8512633,2142.8057481,697.3852708,9647.0664772,2558.8874205,4733.233842,1018.455763,31323.5656328
2017-01-02 09:00:00-06:00,9602.6936126,1006.9597194,2154.6484047,704.1361747,10050.6712133,2740.0712634,4997.4870816,1022.9217456,32279.5892153
2017-01-02 10:00:00-06:00,9793.8574263,1036.1187625,2152.6554723,702.9037421,10354.1977911,2955.9467862,5224.5550315,1019.4287519,33239.6637639
2017-01-02 11:00:00-06:00,10114.707525,1059.8815225,2148.3304868,698.5363151,10522.6590712,3158.1218347,5359.18495,1003.271018,34064.6927233
2017-01-02 12:00:00-06:00,10411.5468676,1073.8171988,2134.8135201,687.0537362,10553.4730246,3309.523224,5409.5914586,987.0827513,34566.9017812
2017-01-02 13:00:00-06:00,10689.0052195,1087.7431779,2125.3371784,679.7808038,10552.6673426,3424.7419658,5486.7730513,983.3399173,35029.3886566
2017-01-02 14:00:00-06:00,10937.0708906,1093.3222228,2116.6825927,674.6042102,10527.7251558,3520.3112194,5554.6305098,980.6850448,35405.0318461
