,COAST,EAST,ERCOT,FWEST,NCENT,NORTH,OTHER,SCENT,SOUTH,WEST
2013-01-01 00:00:00-06:00,0,0,0,0,0,0,0,0,0,0
2013-01-01 00:30:00-06:00,0,0,0,0,0,0,0,0,0,0
2013-01-01 01:00:00-06:00,0,0,0,0,0,0,0,0,0,0
2013-01-01 01:30:00-06:00,0,0,0,0,0,0,0,0,0,0
2013-01-01 02:00:00-06:00,0,0,0,0,0,0,0,0,0,0
2013-01-01 02:30:00-06:00,0,0,0,0,0,0,0,0,0,0
2013-01-01 03:00:00-06:00,0,0,0,0,0,0,0,0,0,0
2013-01-01 03:30:00-06:00,0,0,0,0,0,0,0,0,0,0
2013-01-01 04:00:00-06:00,0,0,0,0,0,0,0,0,0,0
2013-01-01 04:30:00-06:00,0,0,0,0,0,0,0,0,0,0
2013-01-01 05:00:00-06:00,0,0,0,0,0,0,0,0,0,0
2013-01-01 05:30:00-06:00,0,0,0,0,0,0,0,0,0,0
2013-01-01 06:00:00-06:00,0,0,0,0,0,0,0,0,0,0
2013-01-01 06:30:00-06:00,0,0,0,0,0,0,0,0,0,0
2013-01-01 07:00:00-06:00,0,0,0,0,0,0,0,0,0,0
2013-01-01 07:30:00-06:00,-0.001642116,-0.000200119,-0.000160161,0,0,0,-0.000214132,0,-0.000280526,0
2013-01-01 08:00:00-06:00,0.015177024,0.012970616,0.013771236,0.010052678,0.015177771,0.018418893,0.005267691,0.006839189,0.01840694,0.028103551
2013-01-01 08:30:00-06:00,0.022780153,0.018971176,0.097879856,0.167616063,0.062447717,0.145592113,0.090800037,0.031754196,0.053161477,0.163938465
2013-01-01 09:00:00-06:00,0.032649605,0.026174826,0.224858046,0.40715201,0.110619467,0.360027668,0.259683538,0.066662721,0.074794133,0.336807452
2013-01-01 09:30:00-06:00,0.047765154,0.06369222,0.320730685,0.580159484,0.151003218,0.490550724,0.411096747,0.084535602,0.108602109,0.428321979
2013-01-01 10:00:00-06:00,0.06734703,0.094309118,0.363129117,0.626690426,0.204800008,0.52011911,0.437735244,0.134176543,0.168880605,0.482900286
2013-01-01 10:30:00-06:00,0.081790155,0.115177309,0.403471301,0.679715749,0.269045813,0.526023527,0.456595066,0.188095961,0.239140276,0.528041828
2013-01-01 11:00:00-06:00,0.106278896,0.157562803,0.429087232,0.681081528,0.324729035,0.519104823,0.46689006,0.24212129,0.26885595,0.57585739
2013-01-01 11:30:00-06:00,0.13691622,0.185102951,0.436691845,0.666967522,0.364424968,0.505229628,0.459657911,0.272982867,0.275060926,0.591258645
2013-01-01 12:00:00-06:00,0.14894348,0.197785954,0.444602659,0.643085188,0.406080674,0.490752377,0.461099088,0.30655769,0.301842532,0.5984355
2013-01-01 12:30:00-06:00,0.172227289,0.208521666,0.457898203,0.633891835,0.430177703,0.494161503,0.462109903,0.349475073,0.355891195,0.600057374
2013-01-01 13:00:00-06:00,0.168216415,0.216461866,0.462815749,0.619365251,0.437399007,0.49689457,0.46169006,0.372685058,0.388550681,0.602629369
2013-01-01 13:30:00-06:00,0.194402634,0.198758713,0.46473163,0.615599663,0.440249368,0.503315675,0.459706426,0.390280202,0.402625608,0.594294551
2013-01-01 14:00:00-06:00,0.205036555,0.18395008,0.460503876,0.617991695,0.450980587,0.51122969,0.461516097,0.405054593,0.361135311,0.571778368
2013-01-01 14:30:00-06:00,0.20162061,0.155327652,0.461960273,0.616640779,0.462407284,0.508342935,0.472680302,0.413012169,0.374928093,0.555275853
2013-01-01 15:00:00-06:00,0.219096972,0.133320764,0.457266849,0.6081065,0.470890938,0.517397101,0.490948438,0.410032728,0.339079578,0.523859616
