from,to,voltage,descr
1429,6100,345,Oklaunion to Jacksboro new 345-kv line
11028,59903,345,Odessa to Bearkat new 345
,,345,Lubbock Loop (North to New Oliver new 345-kV line and Long Draw to Grassland 345-kV line upgrade) 
,,345,Northwest Austin Metro new 345-kV line and 345/138-kV transformer
,,345,Northwest Dallas-Fort Worth new 345-kV line 
,,345,Faraday to Morgan Creek new 345-kV line 
,,345,Long Draw to Dermott new 345-kV line 
,,345,West Texas to San Antonio new 345-kV line 
,,345,Bergheim 345/138-kV transformer upgrade 
,,345,Odessa to Moss new 345-kV line 
