id,scn,start,end,cap_mod,bat,bat_mod,bat_min,bat_loc,xm_mod,dr_amnt,scn_ref,xm_rlx,xm_sf,xm_viol,ltsa,fev,ld_mdl,desc,ts,rpt_all,curtail
271,Scn_000697,2013-01-29,2013-01-30,0,FALSE,0,0,"",0,0,"",0,0,1,ltsa_current_trends_peaking,concentrated,ARA,xm upgrade diagnostic,2020-07-21 23:00:36 -0500,none,0
272,Scn_000698,2013-05-03,2013-05-04,0,FALSE,0,0,"",0,0,"",0,0,1,ltsa_current_trends_peaking,concentrated,ARA,xm upgrade diagnostic,2020-07-21 23:00:43 -0500,none,0
273,Scn_000699,2013-03-23,2013-03-24,0,FALSE,0,0,"",0,0,"",0,0,1,ltsa_current_trends_peaking,concentrated,ARA,xm upgrade diagnostic,2020-07-21 23:00:50 -0500,none,0
367,Scn_000900,2013-01-01,2013-06-30,0,TRUE,0,0,COPY_000930,0,0,"",0,0,1,ltsa_current_trends_peaking,concentrated,ARA,year 0 conc match bat,2020-09-29 11:28:29 -0500,chg,1
405,Scn_000900,2013-01-01,2013-06-30,0,TRUE,0,0,NA_930,0,0,"",0,0,1,ltsa_current_trends_peaking,concentrated,ARA,year 0 conc match bat,2020-12-03 13:05:24 -0500,chg,1
368,Scn_000901,2013-07-01,2013-12-31,0,TRUE,0,0,COPY_000931,0,0,"",0,0,1,ltsa_current_trends_peaking,concentrated,ARA,year 0 conc match bat,2020-09-29 11:28:40 -0500,chg,1
406,Scn_000901,2013-07-01,2013-12-31,0,TRUE,0,0,NA_931,0,0,"",0,0,1,ltsa_current_trends_peaking,concentrated,ARA,year 0 conc match bat,2020-12-03 13:05:35 -0500,chg,1
369,Scn_000902,2013-01-01,2013-06-30,0,TRUE,0,0,COPY_000932,0,0,"",0,0,1,ltsa_current_trends_peaking,concentrated,ARA,year 0 conc match bat,2020-09-29 11:28:50 -0500,chg,1
407,Scn_000902,2013-01-01,2013-06-30,0,TRUE,0,0,NA_932,0,0,"",0,0,1,ltsa_current_trends_peaking,concentrated,ARA,year 0 conc match bat,2020-12-03 13:05:45 -0500,chg,1
370,Scn_000903,2013-07-01,2013-12-31,0,TRUE,0,0,COPY_000933,0,0,"",0,0,1,ltsa_current_trends_peaking,concentrated,ARA,year 0 conc match bat,2020-09-29 11:29:01 -0500,chg,1
408,Scn_000903,2013-07-01,2013-12-31,0,TRUE,0,0,NA_933,0,0,"",0,0,1,ltsa_current_trends_peaking,concentrated,ARA,year 0 conc match bat,2020-12-03 13:05:55 -0500,chg,1
371,Scn_000904,2013-01-01,2013-06-30,0,TRUE,0,0,COPY_000934,0,0,"",0,0,1,ltsa_current_trends_peaking,concentrated,ARA,year 0 conc match bat,2020-09-29 11:29:11 -0500,chg,1
409,Scn_000904,2013-01-01,2013-06-30,0,TRUE,0,0,NA_934,0,0,"",0,0,1,ltsa_current_trends_peaking,concentrated,ARA,year 0 conc match bat,2020-12-03 13:06:05 -0500,chg,1
372,Scn_000905,2013-07-01,2013-12-31,0,TRUE,0,0,COPY_000935,0,0,"",0,0,1,ltsa_current_trends_peaking,concentrated,ARA,year 0 conc match bat,2020-09-29 11:29:21 -0500,chg,1
410,Scn_000905,2013-07-01,2013-12-31,0,TRUE,0,0,NA_935,0,0,"",0,0,1,ltsa_current_trends_peaking,concentrated,ARA,year 0 conc match bat,2020-12-03 13:06:14 -0500,chg,1
373,Scn_000906,2013-01-01,2013-06-30,0,TRUE,0,0,COPY_000936,0,0,"",0,0,1,ltsa_current_trends_peaking,concentrated,ARA,year 0 conc match bat,2020-09-29 11:29:31 -0500,chg,1
411,Scn_000906,2013-01-01,2013-06-30,0,TRUE,0,0,NA_936,0,0,"",0,0,1,ltsa_current_trends_peaking,concentrated,ARA,year 0 conc match bat,2020-12-03 13:06:24 -0500,chg,1
374,Scn_000907,2013-07-01,2013-12-31,0,TRUE,0,0,COPY_000937,0,0,"",0,0,1,ltsa_current_trends_peaking,concentrated,ARA,year 0 conc match bat,2020-09-29 11:29:41 -0500,chg,1
412,Scn_000907,2013-07-01,2013-12-31,0,TRUE,0,0,NA_937,0,0,"",0,0,1,ltsa_current_trends_peaking,concentrated,ARA,year 0 conc match bat,2020-12-03 13:06:34 -0500,chg,1
349,Scn_000912,2013-01-01,2013-06-30,1.25,FALSE,0,0,"",0,0.05,Scn_000985,0,0,1,ltsa_current_trends_peaking,concentrated,ARA,demand response sim,2020-09-11 07:44:14 -0500,chg,1
350,Scn_000913,2013-07-01,2013-12-31,1.25,FALSE,0,0,"",0,0.05,Scn_000986,0,0,1,ltsa_current_trends_peaking,concentrated,ARA,demand response sim,2020-09-11 07:44:38 -0500,chg,1
351,Scn_000914,2013-01-01,2013-06-30,1.25,FALSE,0,0,"",0,0.1,Scn_000912,0,0,1,ltsa_current_trends_peaking,concentrated,ARA,demand response sim,2020-09-16 10:56:11 -0500,chg,1
352,Scn_000915,2013-07-01,2013-12-31,1.25,FALSE,0,0,"",0,0.1,Scn_000913,0,0,1,ltsa_current_trends_peaking,concentrated,ARA,demand response sim,2020-09-16 10:56:35 -0500,chg,1
355,Scn_000916,2013-01-01,2013-06-30,1.25,FALSE,0,0,"",0,0.15,Scn_000914,0,0,1,ltsa_current_trends_peaking,concentrated,ARA,demand response sim,2020-09-20 09:36:14 -0500,chg,1
356,Scn_000917,2013-07-01,2013-12-31,1.25,FALSE,0,0,"",0,0.15,Scn_000915,0,0,1,ltsa_current_trends_peaking,concentrated,ARA,demand response sim,2020-09-20 09:36:37 -0500,chg,1
359,Scn_000918,2013-01-01,2013-06-30,1.25,FALSE,0,0,"",0,0.2,Scn_000916,0,0,1,ltsa_current_trends_peaking,concentrated,ARA,demand response sim,2020-09-23 10:27:13 -0500,chg,1
360,Scn_000919,2013-07-01,2013-12-31,1.25,FALSE,0,0,"",0,0.2,Scn_000917,0,0,1,ltsa_current_trends_peaking,concentrated,ARA,demand response sim,2020-09-23 10:27:36 -0500,chg,1
325,Scn_000920,2013-01-01,2013-06-30,0.75,TRUE,0.05,0,38131_7315_13436_38360_3471_8367,0,0,"",0,0,1,ltsa_current_trends_peaking,concentrated,ARA,year 075 conc 05% bat,2020-08-13 10:09:17 -0500,chg,1
389,Scn_000920,2013-01-01,2013-06-30,0.75,TRUE,0.05,0,38131_7315_13436_38360_3471_8367,0,0,"",0,0,1,ltsa_current_trends_peaking,concentrated,ARA,fixed storage constraint,2020-11-14 16:00:20 -0500,chg,1
326,Scn_000921,2013-07-01,2013-12-31,0.75,TRUE,0.05,0,38131_7315_13436_38360_3471_8367,0,0,"",0,0,1,ltsa_current_trends_peaking,concentrated,ARA,year 075 conc 05% bat,2020-08-13 10:09:34 -0500,chg,1
390,Scn_000921,2013-07-01,2013-12-31,0.75,TRUE,0.05,0,38131_7315_13436_38360_3471_8367,0,0,"",0,0,1,ltsa_current_trends_peaking,concentrated,ARA,fixed storage constraint,2020-11-14 16:00:52 -0500,chg,1
327,Scn_000922,2013-01-01,2013-06-30,0.75,TRUE,0.1,0,38131_7315_13436_38360_3471_8367,0,0,"",0,0,1,ltsa_current_trends_peaking,concentrated,ARA,year 075 conc 10% bat,2020-08-13 10:09:51 -0500,chg,1
391,Scn_000922,2013-01-01,2013-06-30,0.75,TRUE,0.1,0,38131_7315_13436_38360_3471_8367,0,0,"",0,0,1,ltsa_current_trends_peaking,concentrated,ARA,fixed storage constraint,2020-11-14 16:01:09 -0500,chg,1
328,Scn_000923,2013-07-01,2013-12-31,0.75,TRUE,0.1,0,38131_7315_13436_38360_3471_8367,0,0,"",0,0,1,ltsa_current_trends_peaking,concentrated,ARA,year 075 conc 10% bat,2020-08-13 10:10:08 -0500,chg,1
392,Scn_000923,2013-07-01,2013-12-31,0.75,TRUE,0.1,0,38131_7315_13436_38360_3471_8367,0,0,"",0,0,1,ltsa_current_trends_peaking,concentrated,ARA,fixed storage constraint,2020-11-14 16:01:25 -0500,chg,1
329,Scn_000924,2013-01-01,2013-06-30,0.75,TRUE,0.15,0,38131_7315_13436_38360_3471_8367,0,0,"",0,0,1,ltsa_current_trends_peaking,concentrated,ARA,year 075 conc 15% bat,2020-08-13 10:10:25 -0500,chg,1
393,Scn_000924,2013-01-01,2013-06-30,0.75,TRUE,0.15,0,38131_7315_13436_38360_3471_8367,0,0,"",0,0,1,ltsa_current_trends_peaking,concentrated,ARA,fixed storage constraint,2020-11-14 16:01:41 -0500,chg,1
330,Scn_000925,2013-07-01,2013-12-31,0.75,TRUE,0.15,0,38131_7315_13436_38360_3471_8367,0,0,"",0,0,1,ltsa_current_trends_peaking,concentrated,ARA,year 075 conc 15% bat,2020-08-13 10:10:41 -0500,chg,1
394,Scn_000925,2013-07-01,2013-12-31,0.75,TRUE,0.15,0,38131_7315_13436_38360_3471_8367,0,0,"",0,0,1,ltsa_current_trends_peaking,concentrated,ARA,fixed storage constraint,2020-11-14 16:01:58 -0500,chg,1
