psse_node,psse_name,snl_name,unit,type,tech,status,cap_sum,cap_sum_adj,cost_fuel,cost_vom,fom_kwy,hr,mapping,confidence
110231_P1,_AK__AK_G1_P1,,,Solar,Solar,Operating,,,,,,,manual,lo
111181_N1,111181__N1,,,Wind,Wind,Operating,,,,,,,manual,lo
170200_S1,ACA_UNIT1_S1,,,Solar,Solar,Operating,,,,,,,manual,lo
180021_H1,AMI_AMISTAG1_H1,Amistad Dam & Power,1,Water,Hydro,Operating,29,29,0,6.28,8.82,0,manual,hi
180022_H2,AMI_AMISTAG2_H2,Amistad Dam & Power,2,Water,Hydro,Operating,29,29,0,6.28,8.82,0,manual,hi
110280_PE,AMO_AMOCO_G1_PE,,,Natural Gas,Combustion Turbine,,,,,,,,manual,lo
110281_PE,AMO_AMOCO_G2_PE,,,Natural Gas,Combustion Turbine,,,,,,,,manual,lo
110282_PE,AMO_AMOCO_G3_PE,,,Natural Gas,Combustion Turbine,,,,,,,,manual,lo
110283_PE,AMO_AMOCO_S1_PE,,,Natural Gas,Combustion Turbine,,,,,,,,manual,lo
110284_PE,AMO_AMOCO_S2_PE,,,Natural Gas,Combustion Turbine,,,,,,,,manual,lo
110271_PE,AMOC_AMOCO_1_PE,,,Natural Gas,Combustion Turbine,,,,,,,,manual,lo
110272_PE,AMOC_AMOCO_2_PE,,,Natural Gas,Combustion Turbine,,,,,,,,manual,lo
110273_PE,AMOC_AMOCO_5_PE,,,Natural Gas,Combustion Turbine,,,,,,,,manual,lo
181451_W1,ANACACHO_ANA_W1,Anacacho Wind Farm,ANA,Wind,Wind,Operating,99.8,99.8,0,1.93,18.27,0,manual,hi
141601_N1,ANTLP_G1_N1,Antelope Station,E01,Natural Gas,Internal Combustion,Operating,4.55,4.55,29.56,7.01,34.43,9.06,manual,hi
141602_N2,ANTLP_G2_N2,Antelope Station,E03,Natural Gas,Internal Combustion,Operating,4.55,4.55,29.56,7.01,34.43,9.06,manual,hi
141603_N3,ANTLP_G3_N3,Antelope Station,E02,Natural Gas,Internal Combustion,Operating,4.55,4.55,29.56,7.01,34.43,9.06,manual,hi
120013_N7,ATK_ATKINSG7_N7,,,Solar,Solar,Operating,,,,,,,manual,lo
170021_H1,AUS_AUSTING1_H1,,,Solar,Solar,Operating,,,,,,,manual,lo
170021_H2,AUS_AUSTING1_H2,,,Solar,Solar,Operating,,,,,,,manual,lo
110971_N1,AZ_AZ_G1_N1,ExTex LaPorte Generation Station,GT1,Natural Gas,Combustion Turbine,Operating,38,38,43.51,3.88,4.01,13.04,manual,hi
110972_N2,AZ_AZ_G2_N2,ExTex LaPorte Generation Station,GT2,Natural Gas,Combustion Turbine,Operating,38,38,43.55,3.88,4.01,13.05,manual,hi
110973_N3,AZ_AZ_G3_N3,ExTex LaPorte Generation Station,GT3,Natural Gas,Combustion Turbine,Operating,38,38,43.55,3.88,4.01,13.05,manual,hi
