scn,branch,inj
Scn_502,38090 38120,38131_chg
Scn_502,38120 38129,38131_chg
Scn_502,38320 38310,38360_chg
Scn_502,38320 38360,38360_chg
Scn_502,6372 6376,60091_chg
Scn_502,6370 906926,60091_chg
Scn_502,6392 6393,60091_chg
Scn_502,7315 7314,7315_chg
Scn_504,38090 38120,38131_chg
Scn_504,38120 38129,38131_chg
Scn_504,38320 38310,38360_chg
Scn_504,38320 38360,38360_chg
Scn_504,6372 6376,60091_chg
Scn_504,6370 906926,60091_chg
Scn_504,6392 6393,60091_chg
Scn_504,7315 7314,7315_chg
Scn_505,38090 38120,38131_chg
Scn_505,38120 38129,38131_chg
Scn_505,38320 38310,38360_chg
Scn_505,38320 38360,38360_chg
Scn_505,6372 6376,60091_chg
Scn_505,6370 906926,60091_chg
Scn_505,6392 6393,60091_chg
Scn_505,7315 7314,7315_chg
Scn_506,38090 38120,38131_chg
Scn_506,38120 38129,38131_chg
