branch,mw
1009 60397,417
1018 24033,715
1027 71230,4089
1029 24089,749
1030 19000,3444
1058 1125,3731
1067 1315,450
11016 11028,3444
11028 76000,9199
1123 1234,573
1125 11028,3547
1126 11127,768
1202 900839,709
1203 1204,709
1204 1206,709
1226 1329,605
1300 1301,322
1301 1308,426
1309 1318,320
1318 1394,449
1321 1323,197
132436 132434,519
132731 132732,1280
132783 132781,34689
1328 1337,722
1329 11081,650
1355 1360,227
1356 1359,88
1381 11380,55
141662 141663,1706
1435 11420,1268
1476 1477,223
1532 1534,59
1533 901762,59
38090 38160,147
38160 38170,147
5827 8221,210
5885 8234,805
59900 59901,2852
60383 60385,1170
60385 60393,1415
60392 60415,1111
6050 6060,187
6056 906599,34
6076 6235,1688
6148 6151,39
6151 6152,39
6152 6153,39
6156 6187,43
6171 6172,47
6175 6176,93
6176 6238,44
6184 6185,43
6230 60040,1330
6231 6234,411
6444 76009,2262
6447 6464,196
6450 6477,220
6477 6528,220
6480 6490,627
6490 6500,687
6500 6515,670
6515 6562,955
6526 60359,220
6528 6529,220
6562 76579,985
6584 76019,816
6586 76032,1089
6601 76600,1362
6613 6615,818
6615 76615,818
6628 38350,117
6628 6630,282
6630 38340,1700
6653 6655,114
6656 60392,1111
6657 60408,1111
6666 6667,91
6667 6672,91
6674 38490,287
6678 6680,128
6680 60385,249
71199 76615,4089
71210 79624,566
720 743,299
7425 8252,640
76000 776998,8010
76000 776999,8010
76001 76595,1088
76003 76005,5596
76013 901884,982
76032 76040,20677
76040 132783,34689
76579 76582,1796
76582 76583,828
792 1431,290
79608 79620,328
79611 79612,566
79632 79565,1097
8234 8236,331
8234 8246,594
8246 78424,594
8252 8255,880
8257 8998,197
8260 8264,180
8264 8692,180
