//Branch,Name,FrEnode,ToEnode,Circuit,Voltage,Resistance,Reactance,NormalLimit,CtgLimit,Solve,Enforce,Monitor,Switchable,Penalty,AngleLimit,Hvdc,CID
1 5,1 ROANSPRARE 138 5 SANDYSW 138,1,5,1,138,0.002788,0.0149,275.555555555556,275.555555555556,1,1,,,,,,
1 964,1 ROANSPRARE 138 964 GIBN_CREK_8 138,1,964,1,138,0.008969,0.046064,177.777777777778,177.777777777778,1,1,,,,,,
1001 1009,1001 AROYA_8 138 1009 YUCCADR_8 138,1001,1009,1,138,0.000171,0.001327,866.666666666667,866.666666666667,1,1,,,,,,
1001 1010,1001 AROYA_8 138 1010 PERMIANB_8 138,1001,1010,1,138,1e-05,1e-04,1733.33333333333,1733.33333333333,1,1,,,,,,
1001 1013,1001 AROYA_8 138 1013 WOLFSS_8 138,1001,1013,1,138,0.000685,0.005306,866.666666666667,866.666666666667,1,1,,,,,,
10010 10011,10010 PRSTMDWS1_8 138 10011 PRSTMDWS2_8 138,10010,10011,1,138,0,1e-04,11110,11110,1,1,,,,,,
1009 1013,1009 YUCCADR_8 138 1013 WOLFSS_8 138,1009,1013,1,138,0.000548,0.004245,866.666666666667,866.666666666667,1,1,,,,,,
1009 1019,1009 YUCCADR_8 138 1019 MOSS_8 138,1009,1019,1,138,0.02397,0.13886,233.333333333333,233.333333333333,1,1,,,,,,
1009 1074,1009 YUCCADR_8 138 1074 WINKSS_8 138,1009,1074,1,138,0.009795,0.063686,441.111111111111,441.111111111111,1,1,,,,,,
1009 1080,1009 YUCCADR_8 138 1080 WHITOIL_8 138,1009,1080,1,138,0.001045,0.012192,686.666666666667,686.666666666667,1,1,,,,,,
1009 1106,1009 YUCCADR_8 138 1106 MONAHN1_8 138,1009,1106,1,138,0.01211,0.01854,95.5555555555556,95.5555555555556,1,1,,,,,,
1009 11146,1009 YUCCADR_8 138 11146 BLCKLINE_8 138,1009,11146,1,138,0.011702,0.054909,212.222222222222,212.222222222222,1,1,,,,,,
1009 11197,1009 YUCCADR_8 138 11197 SANDTANK_8 138,1009,11197,1,138,0.011313,0.132008,686.666666666667,686.666666666667,1,1,,,,,,
1009 24008,1009 YUCCADR_8 138 24008 YUCSW1_1 1,1009,24008,1,138,0.0011428,0.093441,196.666666666667,208.888888888889,1,1,,,,,,
1009 24009,1009 YUCCADR_8 138 24009 YUCSW2_1 1,1009,24009,1,138,0.0011428,0.093441,187.777777777778,208.888888888889,1,1,,,,,,
1009 60397,1009 YUCCADR_8 138 60397 GASPADTA4A 138,1009,60397,1,138,0.024962,0.089827,394.777777777778,394.777777777778,1,1,,,,,,
1009 900008,1009 YUCCADR_8 138 900008 YUCCADR_8 138,1009,900008,1,138,0,1e-04,11110,11110,1,1,,,,,,
1010 1087,1010 PERMIANB_8 138 1087 WRDGLFTA_8 138,1010,1087,1,138,3e-04,0.00112,318.888888888889,318.888888888889,1,1,,,,,,
1010 18100,1010 PERMIANB_8 138 18100 PBGENBUS_B 138,1010,18100,1,138,5e-06,1e-04,22220,22220,1,1,,,,,,
1010 18105,1010 PERMIANB_8 138 18105 PB5GEN_8 138,1010,18105,1,138,1e-05,1e-04,11110,11110,1,1,,,,,,
1010 24093,1010 PERMIANB_8 138 24093 PBSES1_1 1,1010,24093,1,138,0.0042,0.1971,68.8888888888889,83.3333333333333,1,1,,,,,,
1010 60397,1010 PERMIANB_8 138 60397 GASPADTA4A 138,1010,60397,1,138,0.024962,0.089827,393.777777777778,393.777777777778,1,1,,,,,,
1010 900008,1010 PERMIANB_8 138 900008 YUCCADR_8 138,1010,900008,1,138,0.000475,0.003088,325.555555555556,325.555555555556,1,1,,,,,,
1010 900072,1010 PERMIANB_8 138 900072 WINKSS_8 138,1010,900072,1,138,0.009863,0.065446,441.111111111111,441.111111111111,1,1,,,,,,
1010 900654,1010 PERMIANB_8 138 900654 NOTREES_SE_8 138,1010,900654,1,138,0.021592,0.101527,212.222222222222,212.222222222222,1,1,,,,,,
1010 902554,1010 PERMIANB_8 138 902554 PB5GEN_8 138,1010,902554,1,138,1e-05,1e-04,11110,11110,1,1,,,,,,
1012 1080,1012 PIRCOVE_8 138 1080 WHITOIL_8 138,1012,1080,1,138,0.00277,0.032904,686.666666666667,686.666666666667,1,1,,,,,,
1012 1086,1012 PIRCOVE_8 138 1086 BARSTOWNW_8 138,1012,1086,1,138,7e-06,1e-04,686.666666666667,686.666666666667,1,1,,,,,,
1012 11086,1012 PIRCOVE_8 138 11086 MCHALAM_8 138,1012,11086,1,138,0.014313,0.170024,686.666666666667,686.666666666667,1,1,,,,,,
1013 1087,1013 WOLFSS_8 138 1087 WRDGLFTA_8 138,1013,1087,1,138,0.000252,0.001416,441.111111111111,441.111111111111,1,1,,,,,,
1013 1103,1013 WOLFSS_8 138 1103 SANDHLTA_8 138,1013,1103,1,138,0.011976,0.056194,212.222222222222,212.222222222222,1,1,,,,,,
1013 1107,1013 WOLFSS_8 138 1107 MONAHN2T_8 138,1013,1107,1,138,0.001292,0.007028,233.333333333333,233.333333333333,1,1,,,,,,
1013 1292,1013 WOLFSS_8 138 1292 ECTRHARP_8 138,1013,1292,1,138,0.01819,0.119539,325.555555555556,325.555555555556,1,1,,,,,,
1014 24082,1014 MIDLNDE_3 12 24082 MDLNE1_1 1,1014,24082,1,12,0.0073819,0.41922,127.555555555556,127.555555555556,1,1,,,,,,
1015 1010,1015 PERMIANB_9 69 1010 PERMIANB_8 138,1015,1010,1,138,0.0067,0.1498,73.3333333333333,83.3333333333333,1,1,,,,,,
1015 1202,1015 PERMIANB_9 69 1202 WARDSS_9 69,1015,1202,1,69,0.15367,0.22979,40,40,1,1,,,,,,
1015 24093,1015 PERMIANB_9 69 24093 PBSES1_1 1,1015,24093,1,69,0.0013,-0.0479,68.8888888888889,83.3333333333333,1,1,,,,,,
1015 37980,1015 PERMIANB_9 69 37980 TNWICKETT_0 69,1015,37980,1,69,0.01573,0.07624,98.8888888888889,98.8888888888889,1,1,,,,,,
1015 900914,1015 PERMIANB_9 69 900914 ROYALTY_9 69,1015,900914,1,69,0.10046,0.26264,71.1111111111111,71.1111111111111,1,1,,,,,,
1015 901041,1015 PERMIANB_9 69 901041 WICKETT_9 69,1015,901041,1,69,0.03312,0.06862,80,80,1,1,,,,,,
1016 1028,1016 ODEHV3T_5 345 1028 ODEHVC_5 345,1016,1028,1,345,0,1e-04,11110,11110,1,1,,,,,,
1016 1029,1016 ODEHV3T_5 345 1029 ODEHVD_5 345,1016,1029,1,345,0,1e-04,11110,11110,1,1,,,,,,
1016 24109,1016 ODEHV3T_5 345 24109 ODEHV3_1 1,1016,24109,1,345,0.0002234,0.024294,522.222222222222,604.444444444444,1,1,,,,,,
1018 11028,1018 MOSS_5 345 11028 ODESEHV2_5 345,1018,11028,1,345,0.00082,0.00714,1220,1220,1,1,,,,,,
1018 1185,1018 MOSS_5 345 1185 MIDCONW_5 345,1018,1185,1,345,0.001357,0.011818,1220,1220,1,1,,,,,,
1018 24033,1018 MOSS_5 345 24033 MOSSW1_1 1,1018,24033,1,345,5.4384e-05,0.015592,568.888888888889,646.666666666667,1,1,,,,,,
1019 1113,1019 MOSS_8 138 1113 ODESASW1_8 138,1019,1113,1,138,0.004123,0.027059,441.111111111111,441.111111111111,1,1,,,,,,
1019 1129,1019 MOSS_8 138 1129 WESTOVER_8 138,1019,1129,1,138,0.00203,0.013495,441.111111111111,441.111111111111,1,1,,,,,,
1019 1143,1019 MOSS_8 138 1143 AMOCNCTA_8 138,1019,1143,1,138,0.007709,0.049999,441.111111111111,441.111111111111,1,1,,,,,,
1019 1176,1019 MOSS_8 138 1176 GRANDVEW_8 138,1019,1176,1,138,0.01817,0.10316,244.444444444444,244.444444444444,1,1,,,,,,
1019 1180,1019 MOSS_8 138 1180 ECTRHILL_8 138,1019,1180,1,138,0.00807,0.04586,233.333333333333,233.333333333333,1,1,,,,,,
1019 1250,1019 MOSS_8 138 1250 YUKONSS_8 138,1019,1250,1,138,0.004781,0.031369,866.666666666667,866.666666666667,1,1,,,,,,
1019 1292,1019 MOSS_8 138 1292 ECTRHARP_8 138,1019,1292,1,138,0.001364,0.008965,325.555555555556,325.555555555556,1,1,,,,,,
1019 24033,1019 MOSS_8 138 24033 MOSSW1_1 1,1019,24033,1,138,0.00028177,0.0065723,568.888888888889,646.666666666667,1,1,,,,,,
1020 1028,1020 ODEHV1T_5 345 1028 ODEHVC_5 345,1020,1028,1,345,0,1e-04,11110,11110,1,1,,,,,,
1020 1029,1020 ODEHV1T_5 345 1029 ODEHVD_5 345,1020,1029,1,345,0,1e-04,11110,11110,1,1,,,,,,
1020 130327,1020 ODEHV1T_5 345 130327 OECCS_1_5 345,1020,130327,1,345,1e-06,1e-04,1220,1220,1,1,,,,,,
1021 1022,1021 MIDLET_5 345 1022 MIDLNDE_5 345,1021,1022,1,345,0,1e-04,11110,11110,1,1,,,,,,
1021 1025,1021 MIDLET_5 345 1025 FSCOGEN_5 345,1021,1025,1,345,0.00268,0.02458,1168.88888888889,1168.88888888889,1,1,,,,,,
1021 24082,1021 MIDLET_5 345 24082 MDLNE1_1 1,1021,24082,1,345,-0.00032434,-0.034985,531.111111111111,588.888888888889,1,1,,,,,,
1022 1185,1022 MIDLNDE_5 345 1185 MIDCONW_5 345,1022,1185,1,345,0.000941,0.008197,1220,1220,1,1,,,,,,
1023 1116,1023 MIDLNDE_8 138 1116 WINDWOOD_8 138,1023,1116,1,138,0.000546,0.006372,531.111111111111,531.111111111111,1,1,,,,,,
1023 11230,1023 MIDLNDE_8 138 11230 ELKINS_8 138,1023,11230,1,138,0.00155,0.01005,441.111111111111,441.111111111111,1,1,,,,,,
1023 1132,1023 MIDLNDE_8 138 1132 MIDLDWNT_8 138,1023,1132,1,138,0.0029,0.01336,212.222222222222,212.222222222222,1,1,,,,,,
1023 1178,1023 MIDLNDE_8 138 1178 ADOBEMEW_8 138,1023,1178,1,138,0.00204,0.01162,244.444444444444,244.444444444444,1,1,,,,,,
1023 1184,1023 MIDLNDE_8 138 1184 GODDARD_8 138,1023,1184,1,138,0.00615,0.03493,244.444444444444,244.444444444444,1,1,,,,,,
1023 24082,1023 MIDLNDE_8 138 24082 MDLNE1_1 1,1023,24082,1,138,0.00081165,0.072015,531.111111111111,588.888888888889,1,1,,,,,,
1024 130001,1024 FSCOGEN_8 138 130001 FLCNS_UNIT1 13.8,1024,130001,1,138,0.00344,0.12895,111.111111111111,111.111111111111,1,1,,,,,,
1024 130002,1024 FSCOGEN_8 138 130002 FLCNS_UNIT2 13.8,1024,130002,1,138,0.00337,0.12796,111.111111111111,111.111111111111,1,1,,,,,,
