//FuelType,ThermalUnit,FuelFactor,Cost,CostAdder
coal,170125_L1,1,,
coal,170126_L2,1,,
coal,170121_L1,1,,
coal,170122_L2,1,,
coal,160121_L1,1,,
coal,170101_L1,1,,
coal,170102_L2,1,,
coal,170103_L3,1,,
coal,120061_L1,1,,
coal,150101_L1,1,,
coal,150102_L2,1,,
coal,120041_L1,1,,
coal,120042_L2,1,,
coal,120043_L3,1,,
coal,120131_L1,1,,
coal,120132_L2,1,,
coal,140031_PE,1,,
coal,160131_L1,1,,
coal,150741_L1,1,,
coal,160141_P1,1,,
coal,160142_P2,1,,
coal,110015_L5,1,,
coal,110016_L6,1,,
coal,110017_L7,1,,
coal,110018_L8,1,,
coal,120001_EQ,1,,
gas,160102_C0,1,,
gas,160103_C3,1,,
gas,160104_C4,1,,
gas,170181_C1,1,,
gas,170182_C2,1,,
gas,170183_C0,1,,
gas,150141_C1,1,,
gas,150142_C2,1,,
gas,150144_C3,1,,
gas,150145_C0,1,,
gas,150143_C0,1,,
gas,170134_C1,1,,
gas,170135_C2,1,,
gas,170136_C0,1,,
gas,110731_PE,1,,
gas,110732_PE,1,,
gas,110733_PE,1,,
gas,110734_PE,1,,
gas,110771_C1,1,,
gas,110772_C2,1,,
gas,110773_C0,1,,
gas,110521_PE,1,,
gas,110522_PE,1,,
gas,110791_C1,1,,
gas,110792_C2,1,,
gas,110794_C3,1,,
gas,110795_C4,1,,
gas,110793_C0,1,,
gas,110796_C0,1,,
gas,111141_C1,1,,
gas,111142_C2,1,,
gas,111143_C0,1,,
gas,110073_C1,1,,
gas,110074_C2,1,,
gas,110075_C0,1,,
gas,160261_PE,1,,
gas,160262_PE,1,,
gas,160263_PE,1,,
gas,110661_PE,1,,
gas,110662_PE,1,,
gas,110821_C1,1,,
gas,110822_C2,1,,
gas,110823_C3,1,,
gas,110824_C0,1,,
gas,110751_C1,1,,
gas,110752_C2,1,,
gas,110753_C3,1,,
gas,110754_C4,1,,
gas,110761_C6,1,,
gas,110755_C0,1,,
gas,110146_P1,1,,
gas,110117_P1,1,,
gas,110125_P1,1,,
gas,110141_P1,1,,
gas,110147_P1,1,,
gas,110111_P1,1,,
gas,110114_P1,1,,
gas,110116_P1,1,,
gas,110124_P1,1,,
gas,110123_P1,1,,
gas,110135_P1,1,,
gas,110137_P1,1,,
gas,110139_P1,1,,
gas,160191_C1,1,,
gas,160192_C2,1,,
gas,160193_C0,1,,
gas,150161_C1,1,,
gas,180012_C1,1,,
gas,180013_C2,1,,
gas,180014_C0,1,,
gas,110460_PA,1,,
gas,110467_PB,1,,
gas,110469_PC,1,,
gas,110451_P1,1,,
gas,110452_P2,1,,
gas,110453_P3,1,,
gas,110454_P4,1,,
gas,110455_P5,1,,
gas,110456_P6,1,,
gas,110457_P7,1,,
gas,110458_P8,1,,
gas,110459_P9,1,,
gas,120111_C1,1,,
gas,120112_C2,1,,
gas,120114_C3,1,,
