//Injector,HeatCost,IncHeat,BaseHeat,HotStartHeat,WarmStartHeat,ColdStartHeat
170125_L1,,10.56,,,,
170126_L2,,10.97,,,,
170121_L1,,10.25,,,,
170122_L2,,9.86,,,,
160121_L1,,10.27,,,,
170101_L1,,10.59,,,,
170102_L2,,10.5,,,,
170103_L3,,10.41,,,,
120061_L1,,10.09,,,,
150101_L1,,10.67,,,,
150102_L2,,10.53,,,,
120041_L1,,11.25,,,,
120042_L2,,11.08,,,,
120043_L3,,11.21,,,,
120131_L1,,10.2,,,,
120132_L2,,10.26,,,,
140031_PE,,10.46,,,,
160131_L1,,12.36,,,,
150741_L1,,9.33,,,,
160141_P1,,14.11,,,,
160142_P2,,14.11,,,,
110015_L5,,10.09,,,,
110016_L6,,10.46,,,,
110017_L7,,10.33,,,,
110018_L8,,10.3,,,,
120001_EQ,,10.81,,,,
160102_C0,,7.66,,,,
160103_C3,,7.66,,,,
160104_C4,,7.66,,,,
170181_C1,,8.03,,,,
170182_C2,,8.03,,,,
170183_C0,,8.03,,,,
150141_C1,,7.02,,,,
150142_C2,,7.02,,,,
150144_C3,,7.02,,,,
150145_C0,,7.02,,,,
150143_C0,,7.02,,,,
170134_C1,,7.01,,,,
170135_C2,,7.01,,,,
170136_C0,,7.01,,,,
110731_PE,,6.67,,,,
110732_PE,,6.67,,,,
110733_PE,,6.67,,,,
110734_PE,,6.67,,,,
110771_C1,,7.45,,,,
110772_C2,,7.45,,,,
110773_C0,,7.45,,,,
110521_PE,,7.65357512953368,,,,
110522_PE,,7.65357512953368,,,,
110791_C1,,8.38,,,,
110792_C2,,8.38,,,,
110794_C3,,8.38,,,,
110795_C4,,8.38,,,,
110793_C0,,8.38,,,,
110796_C0,,8.38,,,,
111141_C1,,7.04,,,,
111142_C2,,7.04,,,,
111143_C0,,7.04,,,,
110073_C1,,7.77,,,,
110074_C2,,7.77,,,,
110075_C0,,7.77,,,,
160261_PE,,7.65357512953368,,,,
160262_PE,,7.65357512953368,,,,
160263_PE,,7.65357512953368,,,,
110661_PE,,7.65357512953368,,,,
110662_PE,,7.65357512953368,,,,
110821_C1,,6.14,,,,
110822_C2,,6.14,,,,
110823_C3,,6.14,,,,
110824_C0,,6.14,,,,
110751_C1,,6.53,,,,
110752_C2,,6.53,,,,
110753_C3,,6.53,,,,
110754_C4,,6.53,,,,
110761_C6,,6.53,,,,
110755_C0,,6.53,,,,
110146_P1,,7.65357512953368,,,,
110117_P1,,5.95,,,,
110125_P1,,5.95,,,,
110141_P1,,7.65357512953368,,,,
110147_P1,,7.65357512953368,,,,
110111_P1,,5.95,,,,
110114_P1,,5.95,,,,
110116_P1,,5.95,,,,
110124_P1,,5.95,,,,
110123_P1,,5.95,,,,
110135_P1,,7.65357512953368,,,,
110137_P1,,7.65357512953368,,,,
110139_P1,,7.65357512953368,,,,
160191_C1,,7.56,,,,
160192_C2,,7.56,,,,
160193_C0,,7.56,,,,
150161_C1,,7.98,,,,
180012_C1,,6.7,,,,
180013_C2,,6.7,,,,
180014_C0,,6.7,,,,
110460_PA,,4.95,,,,
110467_PB,,4.95,,,,
110469_PC,,4.95,,,,
110451_P1,,4.95,,,,
110452_P2,,4.95,,,,
110453_P3,,4.95,,,,
110454_P4,,4.95,,,,
110455_P5,,4.95,,,,
110456_P6,,4.95,,,,
110457_P7,,7.65357512953368,,,,
110458_P8,,7.65357512953368,,,,
110459_P9,,7.65357512953368,,,,
120111_C1,,7.25,,,,
120112_C2,,7.25,,,,
120114_C3,,7.25,,,,
120115_C4,,7.25,,,,
120113_C0,,7.25,,,,
120116_C0,,7.25,,,,
150181_C1,,7.14,,,,
150182_C2,,7.14,,,,
150183_C3,,7.14,,,,
150185_C1,,7.14,,,,
150186_C2,,7.14,,,,
150187_C3,,7.14,,,,
150184_C0,,7.14,,,,
150188_C0,,7.14,,,,
170161_C1,,7.11,,,,
170162_C2,,7.11,,,,
170164_C3,,7.11,,,,
170165_C4,,7.11,,,,
170166_C0,,7.11,,,,
170191_N1,,7.7,,,,
170192_N2,,7.7,,,,
170193_N3,,7.7,,,,
170194_N4,,7.7,,,,
160151_PE,,5.18,,,,
160152_PE,,5.18,,,,
160153_PE,,5.18,,,,
150201_C1,,7.43,,,,
150202_C2,,7.43,,,,
150203_C0,,7.43,,,,
150204_C4,,7.43,,,,
150205_C5,,7.43,,,,
150206_C0,,7.43,,,,
140071_C1,,7.56,,,,
140072_C2,,7.56,,,,
140073_C0,,7.56,,,,
140074_C4,,7.56,,,,
140075_C5,,7.56,,,,
140076_C0,,7.56,,,,
160201_PE,,7.65357512953368,,,,
160202_PE,,7.65357512953368,,,,
160203_PE,,7.65357512953368,,,,
170171_C1,,7.36,,,,
170172_C2,,7.36,,,,
170173_C0,,7.36,,,,
140061_C1,,7.11,,,,
140062_C2,,7.11,,,,
140064_C4,,7.11,,,,
140065_C5,,7.11,,,,
140063_C0,,7.11,,,,
140066_C0,,7.11,,,,
150151_N1,,7.67,,,,
150152_N2,,7.67,,,,
150153_N3,,7.67,,,,
150154_N4,,7.67,,,,
150155_N5,,7.67,,,,
150156_N6,,7.67,,,,
