//Injector,Node,PhysicalArea,LossFactor,IgnoreLoss
40426_B1,40426,,,
109003_EQ,109003,,,
109021_B1,109021,,,
109062_B1,109062,,,
109081_B1,109081,,,
110001_N2,110001,,,
110002_N1,110002,,,
110011_N1,110011,,,
110012_N2,110012,,,
110013_N3,110013,,,
110014_N4,110014,,,
110015_L5,110015,,,
110016_L6,110016,,,
110017_L7,110017,,,
110018_L8,110018,,,
110019_BS,110019,,,
110020_N1,110020,,,
110031_N1,110031,,,
110032_N2,110032,,,
110034_C7,110034,,,
110035_C8,110035,,,
110036_C9,110036,,,
110037_C0,110037,,,
110041_BS,110041,,,
110042_C1,110042,,,
110043_C2,110043,,,
110044_C3,110044,,,
110045_C4,110045,,,
110046_C0,110046,,,
110047_C5,110047,,,
110048_C6,110048,,,
110049_C7,110049,,,
110050_C8,110050,,,
110051_C0,110051,,,
110052_N1,110052,,,
110053_N2,110053,,,
110054_N3,110054,,,
110055_N4,110055,,,
110056_N5,110056,,,
110057_N6,110057,,,
110071_N1,110071,,,
110072_N2,110072,,,
110073_C1,110073,,,
110074_C2,110074,,,
110075_C0,110075,,,
110092_N1,110092,,,
110093_N2,110093,,,
110094_N3,110094,,,
110095_N4,110095,,,
110096_N5,110096,,,
110097_N6,110097,,,
110111_P1,110111,,,
110114_P1,110114,,,
110116_P1,110116,,,
110117_P1,110117,,,
110123_P1,110123,,,
110124_P1,110124,,,
110125_P1,110125,,,
110135_P1,110135,,,
110137_P1,110137,,,
110139_P1,110139,,,
110141_P1,110141,,,
110146_P1,110146,,,
110147_P1,110147,,,
110171_PE,110171,,,
110172_PE,110172,,,
110173_PE,110173,,,
110174_PE,110174,,,
110201_PE,110201,,,
110202_PE,110202,,,
110203_PE,110203,,,
110204_PE,110204,,,
110205_C0,110205,,,
110231_P1,110231,,,
110261_N1,110261,,,
110271_PE,110271,,,
110272_PE,110272,,,
110273_PE,110273,,,
110280_PE,110280,,,
110281_PE,110281,,,
110282_PE,110282,,,
110283_PE,110283,,,
110284_PE,110284,,,
110331_P1,110331,,,
110331_P5,110331,,,
