//Enode,Name,Busbar,Substation,ReportNode
1,ROANSPRARE,,1,0
2,KEITHSW,,2,0
4,IOLA,,4,0
5,SANDYSW,,5,0
6,HWY6,,6,0
7,SANDY,,7,0
8,CRTCHFLD,,8,0
9,BEDIAS,,9,0
13,KEITH,,13,0
17,CARLOSSW,,17,0
21,CARLOS,,21,0
25,NORTHZULCH,,25,0
26,HAMNDSW,,26,0
27,HAMMOND,,27,0
31,HEARNECITY,,31,0
32,ROBERTSON,,32,0
33,WATSONCHPL,,33,0
34,CALVERTMIN,,34,0
35,HEARNE8,,35,0
36,HEARNE9,,36,0
37,RIDGE,,37,0
38,SUTTON,,38,0
43,HILTPLKSSW,,43,0
45,OLETHA,,45,0
46,FARRAR,,46,0
47,HILTOPLKS8,,47,0
48,HILTOPLKS9,,48,0
53,ELLIOTT,,53,0
57,FRANKLIN,,57,0
61,BRANCHVILE,,61,0
64,MILANO,,64,0
65,SILVERCITY,,65,0
69,BARCLAY,,69,0
73,CALVERTSW,,73,0
77,CALVERT,,77,0
81,PLESNTGROV,,81,0
85,KOSSESWCH,,85,0
86,BEARGRASS,,86,0
89,KOSSE,,89,0
91,PERRY8,,91,0
92,PERRY9,,92,0
93,PETTEWAY,,93,0
95,HALLSBURG,,95,0
99,BENHUR,,99,0
103,GROESBECK,,103,0
104,BUTLER,,104,0
107,PRAIRIEHIL,,107,0
110,BUCKHOLTS,,110,0
114,BARTLETTSW,,114,0
115,DINGDONG,,115,0
116,SALTY,,116,0
117,CEDARVALLY,,117,0
118,BARTLETT,,118,0
120,TALBRTRIDG,,120,0
121,SONTERRA,,121,0
122,SCHWERTNER,,122,0
126,POAGE,,126,0
130,SEATON8,,130,0
131,SEATON9,,131,0
132,BELLCNTY8,,132,0
133,BELLCNTY9,,133,0
136,TRIMMIER,,136,0
137,MOODY,,137,0
139,LAKEBELTON,,139,0
140,CHAPELHILL,,140,0
141,MOFFAT,,141,0
142,TUGTSVILSW,,142,0
145,LEONJUNCTN,,145,0
146,SPRINGVALY,,146,0
147,LORENA,,147,0
149,SANTAFESW,,149,0
153,SANTAFE,,153,0
157,GATESVILLE,,157,0
158,PANCAKE,,158,0
161,MCGREGOR,,161,0
165,WINDSORSW,,165,0
169,WINDSOR,,169,0
170,COTTONBELT,,170,0
173,CRAWFORD,,173,0
175,CHINASPRGS,,175,0
177,BOSQUE,,177,0
181,CAYOTE,,181,0
185,MIDWAY,,185,0
186,NAVAROMILS,,186,0
190,DAWSON,,190,0
192,TELICO,,192,0
193,BARRY,,193,0
194,PURDON,,194,0
195,FREESTONE,,195,0
196,FAIRFIELD,,196,0
198,EMMETT,,198,0
200,CHATFIELD,,200,0
201,WINDHMRD,,201,0
202,SARDIS9,,202,0
203,SARDIS8,,203,0
204,BETHEL,,204,0
205,MALONEY,,205,0
208,EUREKA,,208,0
209,CLAYHILL,,209,0
210,REAGORSPRG,,210,0
211,GOODLOE,,211,0
212,WINKLER,,212,0
213,HANEY,,213,0
214,ROCKETTSW,,214,0
216,ENNIS,,216,0
217,GLNHEIGHTS,,217,0
218,ROCKETT,,218,0
220,CEDARHILL,,220,0
221,TRUMBULL8,,221,0
222,TRUMBULL9,,222,0
223,SAINTPAUL,,223,0
224,ITASCA,,224,0
225,FORRESTON,,225,0
228,PEORIA,,228,0
230,DWUSSWW,,230,0
232,LAMPOSTSW,,232,0
234,CHATT,,234,0
236,LAMPOST,,236,0
237,BLANTON,,237,0
240,WHITNEY5,,240,0
241,WHITNEY8,,241,0
242,WHITNEYDM,,242,0
243,WHITNEYSW,,243,0
244,WHITNYSTR,,244,0
245,WHTNYSTAR,,245,0
246,BOSQUESW5,,246,0
249,ROGERSHL,,249,0
250,FRTGATESSW,,250,0
252,BOSQUESW8,,252,0
254,FORTGATES,,254,0
258,HAMILTON,,258,0
260,KEMPNER,,260,0
262,INDIANGAP,,262,0
265,ENERGYSW,,265,0
268,WARING,,268,0
269,ENERGY,,269,0
271,WAYLND,,271,0
273,GUSTINE,,273,0
277,HASSE,,277,0
280,LONGBRANCH,,280,0
281,DOWNING,,281,0
283,ZEPHYR,,283,0
285,RISINGSTAR,,285,0
288,MORGAN,,288,0
289,NIMROD,,289,0
290,SHILOHC,,290,0
291,DELEON,,291,0
292,HOLDER8,,292,0
293,HOLDER9,,293,0
294,MOUNTARY,,294,0
295,STEPHENVIL8,,295,0
297,CARLTONSW,,297,0
298,CARLTON,,298,0
299,STEPHENVIL9,,299,0
300,JOHNSVILLE,,300,0
301,LINGLEVIL,,301,0
302,SELDEN,,302,0
303,NORFORK,,303,0
304,WRIGHT,,304,0
305,BLUFFDALE,,305,0
306,BUNKER,,306,0
307,GRANBURY9,,307,0
308,BUNKER9,,308,0
309,TOLARTAP,,309,0
310,GRBY8,,310,0
311,HILLCITY,,311,0
315,GLENROSE,,315,0
319,MERIDIAN,,319,0
320,JAYBIRD,,320,0
323,CRANFILSGP,,323,0
325,RICOCHET,,325,0
327,POWELL,,327,0
331,RWMILLER,,331,0
343,MRSSHPRD,,343,0
350,ABBYBEND,,350,0
352,PORTROYAL,,352,0
356,SPUNKY8,,356,0
357,SPUNKY9,,357,0
363,HOOD8,,363,0
370,JNSNCNTY8,,370,0
373,ACTON,,373,0
377,FALLCREEK,,377,0
380,FRIENDSHIP,,380,0
384,GEORGESCRK,,384,0
385,LITTLEHOSS,,385,0
387,NEWHOPE,,387,0
388,WLDCATTAP,,388,0
391,BONO,,391,0
393,CONCORD,,393,0
394,CONCORD8,,394,0
395,DOMINO,,395,0
398,JOSHUA,,398,0
399,CROWLEY,,399,0
404,JESSICA,,404,0
405,EGAN,,405,0
412,BURLESON,,412,0
415,KEENE,,415,0
419,LILLIAN8,,419,0
420,LILLIAN9,,420,0
428,VALLYBRNCH,,428,0
429,RETTA,,429,0
430,TIMBERGREN,,430,0
432,CONLEY,,432,0
433,WILDCAT,,433,0
435,LKALVARADO,,435,0
436,GRANDVIEW,,436,0
440,GRIFFITH,,440,0
441,VENUS,,441,0
442,RAILPORT,,442,0
443,SANDFLATSW,,443,0
444,COVINGTON,,444,0
445,YATES,,445,0
447,SANDFLAT,,447,0
455,NASSAUBAY,,455,0
467,WAPLES8,,467,0
470,FAIRVIEW,,470,0
471,LAKEWOOD,,471,0
473,THORPSPRGS,,473,0
475,STOCKTNBND,,475,0
477,FOX8,,477,0
478,FOX9,,478,0
480,WSTLOOP,,480,0
484,SODASPRNGS,,484,0
485,ANNETTA,,485,0
487,BROCK,,487,0
489,STHBROCKSW,,489,0
491,SOUTHBROCK,,491,0
494,TINTOP,,494,0
495,RAILROAD,,495,0
498,LIVEOAK,,498,0
499,WTHLVOK,,499,0
501,HILLTOP8,,501,0
505,WTHFDLK,,505,0
506,HILLTOP9,,506,0
511,AGNESSWTCH,,511,0
512,NRTHWTHFRD,,512,0
514,DUBLTRANCH,,514,0
515,SHADYGROVE,,515,0
516,ZIONHILL,,516,0
518,ADVANCE,,518,0
519,WHITT,,519,0
520,ALEDOTAP,,520,0
522,HUDSONOAKS,,522,0
526,DICEY,,526,0
527,ALEDO,,527,0
528,LGVWSS,,528,0
529,LGVESS,,529,0
530,SPRINGTOWN,,530,0
531,FLATROCK,,531,0
532,AGNES,,532,0
533,FLATROCKSW,,533,0
534,VEALJNCTN,,534,0
537,CNTERPOINT,,537,0
541,RENO,,541,0
545,BRIAR,,545,0
548,BOYD,,548,0
555,GRAPEVINE,,555,0
556,IBM,,556,0
559,HERITAGE,,559,0
562,JOPLIN,,562,0
564,SUMRFELD,,564,0
565,KELLER,,565,0
566,CHERRYGROV,,566,0
568,PEDENROAD,,568,0
570,WISECNTY,,570,0
572,AURORA,,572,0
573,NEWARK,,573,0
575,JCKCNTY5,,575,0
576,RHOME,,576,0
578,ALLISON,,578,0
579,JCKCNTY8,,579,0
580,WSTBROOK,,580,0
583,DECATUR,,583,0
584,WOODIE,,584,0
585,CHISOLM,,585,0
587,GREENWOOD,,587,0
588,WILLOW,,588,0
590,PERCHHILL,,590,0
595,KEETER,,595,0
596,COTTONDALE,,596,0
598,ELNA,,598,0
600,BRIDGEPORT,,600,0
601,EBRIDGPORT,,601,0
602,AVONDALE,,602,0
608,CRAFTON,,608,0
610,PATTSNST,,610,0
611,BRDGTAP,,611,0
616,CARTER,,616,0
618,LONESTAR,,618,0
620,BOWIE8,,620,0
621,BOWIE9,,621,0
625,CRAIGRANCH,,625,0
626,CRAIGRNCH2,,626,0
628,SPRINGCRK,,628,0
629,ROMANJUAREZ,,629,0
631,NEWPORT,,631,0
632,JOHNSONSW,,632,0
634,AUDUBONSW,,634,0
635,AUDUBON,,635,0
636,JOHNSON,,636,0
640,ROANOKE,,640,0
645,LEWISVLSW8_1,,645,0
646,LEWISVLSW5_1,,646,0
648,COPPELL,,648,0
649,PNTHRCREEK,,649,0
651,LEBANON,,651,0
652,AUBREY,,652,0
653,CUSTER2,,653,0
655,CUSTER,,655,0
656,MOUND,,656,0
657,KIMBALROAD,,657,0
658,MCKAMY,,658,0
659,BRIDGES,,659,0
660,LEWISVILLE,,660,0
661,CROSTIMBRS,,661,0
662,NAVO,,662,0
663,HEBRON,,663,0
664,HIGHLND,,664,0
665,CRNTHSTHSW,,665,0
667,CRNTHSTHSW2,,667,0
668,CANYON,,668,0
670,KRUM,,670,0
672,RECTORROAD,,672,0
675,ROCKHILL,,675,0
679,MCPHERSON,,679,0
680,NRTHSANGER,,680,0
681,FRISCO,,681,0
684,SPRING,,684,0
685,LEO,,685,0
686,GRASLNDS,,686,0
690,MYRA,,690,0
691,VALLEYVIEW,,691,0
695,MUENSTER,,695,0
698,SALEM,,698,0
704,MTNSPRNGS,,704,0
705,HAWKINS9,,705,0
706,WOODBINE,,706,0
707,HAWKINS8,,707,0
708,KIOWA,,708,0
718,WHTSBRSWST,,718,0
720,SLTCRKRCTR,,720,0
722,JORDAN,,722,0
724,SMSSW,,724,0
725,SIVLSBNDSW,,725,0
726,GAINESVILL,,726,0
727,SIVELSBEND,,727,0
729,SCURRYSWCH,,729,0
730,WOLFRIDGE,,730,0
733,PADUCAH,,733,0
734,MCADAMS,,734,0
735,REDRIVER,,735,0
736,COPPERBRKS,,736,0
737,SMS,,737,0
738,SINCLAIRSW,,738,0
740,HENRY,,740,0
741,DYEMOUND,,741,0
742,SINCLAIR,,742,0
743,SALTCREEK,,743,0
744,WALNUTBEND,,744,0
745,KING,,745,0
746,STJO8,,746,0
747,KALGARY,,747,0
748,JAYTON,,748,0
750,STJO9,,750,0
751,ESPUELA,,751,0
752,CLAIRMONT,,752,0
753,BISSETT,,753,0
754,CAPSCORNER,,754,0
755,ASPERMONT,,755,0
756,NOCONA,,756,0
758,ALCORN,,758,0
762,HARDYSW,,762,0
763,ROCHESTER,,763,0
764,MUNDAY,,764,0
765,KNOX,,765,0
766,HARDY,,766,0
768,JOY,,768,0
769,POSTOAKSW,,769,0
770,ARROWHEAD,,770,0
771,POSTOAK,,771,0
772,SHANNON,,772,0
773,SCOTLAND,,773,0
774,KATZ,,774,0
775,LANHAM,,775,0
776,BRIDWELL,,776,0
779,SEYMOUR,,779,0
780,ELBERT,,780,0
781,ELBERTSW,,781,0
