//Schedule,Time,Value,Enforce
gen_109003_EQ,2013.01.29 00:00,76.102752,1
gen_109003_EQ,2013.01.29 01:00,77.079888,1
gen_109003_EQ,2013.01.29 02:00,75.740232,1
gen_109003_EQ,2013.01.29 03:00,74.880912,1
gen_109003_EQ,2013.01.29 04:00,72.9522512,1
gen_109003_EQ,2013.01.29 05:00,72.377148,1
gen_109003_EQ,2013.01.29 06:00,71.185272,1
gen_109003_EQ,2013.01.29 07:00,70.401048,1
gen_109003_EQ,2013.01.29 08:00,70.484704,1
gen_109003_EQ,2013.01.29 09:00,63.839416,1
gen_109003_EQ,2013.01.29 10:00,60.003472,1
gen_109003_EQ,2013.01.29 11:00,56.7734912,1
gen_109003_EQ,2013.01.29 12:00,58.9451552,1
gen_109003_EQ,2013.01.29 13:00,62.722032,1
gen_109003_EQ,2013.01.29 14:00,63.9160776,1
gen_109003_EQ,2013.01.29 15:00,62.243888,1
gen_109003_EQ,2013.01.29 16:00,60.383372,1
gen_109003_EQ,2013.01.29 17:00,58.1325008,1
gen_109003_EQ,2013.01.29 18:00,63.9117576,1
gen_109003_EQ,2013.01.29 19:00,63.6621,1
gen_109003_EQ,2013.01.29 20:00,68.790648,1
gen_109003_EQ,2013.01.29 21:00,70.3565072,1
gen_109003_EQ,2013.01.29 22:00,70.276472,1
gen_109003_EQ,2013.01.29 23:00,72.2095152,1
gen_109003_EQ,2013.01.30 00:00,73.571576,1
gen_109003_EQ,2013.01.30 01:00,69.34204,1
gen_109003_EQ,2013.01.30 02:00,72.9879952,1
gen_109003_EQ,2013.01.30 03:00,71.397384,1
gen_109003_EQ,2013.01.30 04:00,76.894528,1
gen_109003_EQ,2013.01.30 05:00,75.272104,1
gen_109003_EQ,2013.01.30 06:00,74.5123624,1
gen_109003_EQ,2013.01.30 07:00,75.1902296,1
gen_109003_EQ,2013.01.30 08:00,76.574112,1
gen_109003_EQ,2013.01.30 09:00,78.6804768,1
gen_109003_EQ,2013.01.30 10:00,79.696696,1
gen_109003_EQ,2013.01.30 11:00,79.6922592,1
gen_109003_EQ,2013.01.30 12:00,79.7486592,1
gen_109003_EQ,2013.01.30 13:00,79.7878024,1
gen_109003_EQ,2013.01.30 14:00,79.5996904,1
gen_109003_EQ,2013.01.30 15:00,78.925052,1
gen_109003_EQ,2013.01.30 16:00,76.7909,1
gen_109003_EQ,2013.01.30 17:00,67.657784,1
gen_109003_EQ,2013.01.30 18:00,59.54128,1
gen_109003_EQ,2013.01.30 19:00,56.71402,1
gen_109003_EQ,2013.01.30 20:00,52.388912,1
gen_109003_EQ,2013.01.30 21:00,47.5243568,1
gen_109003_EQ,2013.01.30 22:00,37.3712,1
gen_109003_EQ,2013.01.30 23:00,26.5487072,1
gen_109003_EQ,2013.01.31 00:00,18.5489368,1
gen_109003_EQ,2013.01.31 01:00,13.1847312,1
gen_109003_EQ,2013.01.31 02:00,8.291848,1
gen_109003_EQ,2013.01.31 03:00,4.188278,1
gen_109003_EQ,2013.01.31 04:00,2.43954256,1
gen_109003_EQ,2013.01.31 05:00,2.91383656,1
gen_109003_EQ,2013.01.31 06:00,4.73246128,1
gen_109003_EQ,2013.01.31 07:00,6.9396296,1
gen_109003_EQ,2013.01.31 08:00,8.2740616,1
gen_109003_EQ,2013.01.31 09:00,5.512712,1
gen_109003_EQ,2013.01.31 10:00,2.34389696,1
gen_109003_EQ,2013.01.31 11:00,4.81979104,1
gen_109003_EQ,2013.01.31 12:00,5.57833792,1
gen_109021_B1,2013.01.29 00:00,0,1
gen_109021_B1,2013.01.29 01:00,0,1
gen_109021_B1,2013.01.29 02:00,0,1
gen_109021_B1,2013.01.29 03:00,0,1
gen_109021_B1,2013.01.29 04:00,0,1
gen_109021_B1,2013.01.29 05:00,0,1
gen_109021_B1,2013.01.29 06:00,0,1
gen_109021_B1,2013.01.29 07:00,0,1
gen_109021_B1,2013.01.29 08:00,1.610090925,1
gen_109021_B1,2013.01.29 09:00,7.251092175,1
gen_109021_B1,2013.01.29 10:00,10.295171125,1
gen_109021_B1,2013.01.29 11:00,12.85245735,1
gen_109021_B1,2013.01.29 12:00,13.9279651,1
gen_109021_B1,2013.01.29 13:00,14.242337825,1
gen_109021_B1,2013.01.29 14:00,13.5624467,1
gen_109021_B1,2013.01.29 15:00,12.29843705,1
gen_109021_B1,2013.01.29 16:00,10.6870179,1
gen_109021_B1,2013.01.29 17:00,6.578911275,1
gen_109021_B1,2013.01.29 18:00,0.22841145,1
gen_109021_B1,2013.01.29 19:00,0,1
gen_109021_B1,2013.01.29 20:00,0,1
gen_109021_B1,2013.01.29 21:00,0,1
gen_109021_B1,2013.01.29 22:00,0,1
gen_109021_B1,2013.01.29 23:00,0,1
gen_109021_B1,2013.01.30 00:00,0,1
gen_109021_B1,2013.01.30 01:00,0,1
gen_109021_B1,2013.01.30 02:00,0,1
gen_109021_B1,2013.01.30 03:00,0,1
gen_109021_B1,2013.01.30 04:00,0,1
gen_109021_B1,2013.01.30 05:00,0,1
gen_109021_B1,2013.01.30 06:00,0,1
gen_109021_B1,2013.01.30 07:00,0,1
gen_109021_B1,2013.01.30 08:00,5.903812825,1
gen_109021_B1,2013.01.30 09:00,21.232236425,1
gen_109021_B1,2013.01.30 10:00,22.17322965,1
gen_109021_B1,2013.01.30 11:00,21.5038316,1
gen_109021_B1,2013.01.30 12:00,20.562939025,1
gen_109021_B1,2013.01.30 13:00,20.2503751,1
gen_109021_B1,2013.01.30 14:00,20.763435,1
gen_109021_B1,2013.01.30 15:00,21.6615217,1
gen_109021_B1,2013.01.30 16:00,21.738924525,1
gen_109021_B1,2013.01.30 17:00,15.57515225,1
gen_109021_B1,2013.01.30 18:00,0.74742295,1
gen_109021_B1,2013.01.30 19:00,0,1
gen_109021_B1,2013.01.30 20:00,0,1
gen_109021_B1,2013.01.30 21:00,0,1
gen_109021_B1,2013.01.30 22:00,0,1
gen_109021_B1,2013.01.30 23:00,0,1
gen_109021_B1,2013.01.31 00:00,0,1
gen_109021_B1,2013.01.31 01:00,0,1
gen_109021_B1,2013.01.31 02:00,0,1
gen_109021_B1,2013.01.31 03:00,0,1
gen_109021_B1,2013.01.31 04:00,0,1
gen_109021_B1,2013.01.31 05:00,0,1
gen_109021_B1,2013.01.31 06:00,0,1
gen_109021_B1,2013.01.31 07:00,0,1
gen_109021_B1,2013.01.31 08:00,3.675781675,1
gen_109021_B1,2013.01.31 09:00,16.653698925,1
gen_109021_B1,2013.01.31 10:00,20.04653485,1
gen_109021_B1,2013.01.31 11:00,18.191180225,1
gen_109021_B1,2013.01.31 12:00,17.74020205,1
gen_109062_B1,2013.01.29 00:00,76.102752,1
gen_109062_B1,2013.01.29 01:00,77.079888,1
gen_109062_B1,2013.01.29 02:00,75.740232,1
gen_109062_B1,2013.01.29 03:00,74.880912,1
gen_109062_B1,2013.01.29 04:00,72.9522512,1
gen_109062_B1,2013.01.29 05:00,72.377148,1
gen_109062_B1,2013.01.29 06:00,71.185272,1
gen_109062_B1,2013.01.29 07:00,70.401048,1
