//Scenario,Injector,MaxMw,Enforce,ScaleFactor,Schedule,Sequence
ScnDA,40426_B1,,1,,gen_40426_B1,
ScnDA,109003_EQ,,1,,gen_109003_EQ,
ScnDA,109021_B1,,1,,gen_109021_B1,
ScnDA,109062_B1,,1,,gen_109062_B1,
ScnDA,109081_B1,,1,,gen_109081_B1,
ScnDA,110001_N2,,1,,gen_110001_N2,
ScnDA,110002_N1,,1,,gen_110002_N1,
ScnDA,110231_P1,,1,,gen_110231_P1,
ScnDA,110261_N1,,1,,gen_110261_N1,
ScnDA,110331_P1,,1,,gen_110331_P1,
ScnDA,110331_P5,,1,,gen_110331_P5,
ScnDA,110332_P2,,1,,gen_110332_P2,
ScnDA,110332_P7,,1,,gen_110332_P7,
ScnDA,110333_P6,,1,,gen_110333_P6,
ScnDA,110334_P3,,1,,gen_110334_P3,
ScnDA,110335_P8,,1,,gen_110335_P8,
ScnDA,110481_N1,,1,,gen_110481_N1,
ScnDA,110482_N2,,1,,gen_110482_N2,
ScnDA,110501_PE,,1,,gen_110501_PE,
ScnDA,110502_PE,,1,,gen_110502_PE,
ScnDA,110503_PE,,1,,gen_110503_PE,
ScnDA,110504_PE,,1,,gen_110504_PE,
ScnDA,110551_P1,,1,,gen_110551_P1,
ScnDA,110561_PE,,1,,gen_110561_PE,
ScnDA,110681_P1,,1,,gen_110681_P1,
ScnDA,110701_PE,,1,,gen_110701_PE,
ScnDA,110722_N2,,1,,gen_110722_N2,
ScnDA,110841_P1,,1,,gen_110841_P1,
ScnDA,110861_P1,,1,,gen_110861_P1,
ScnDA,110862_P2,,1,,gen_110862_P2,
ScnDA,110921_P1,,1,,gen_110921_P1,
ScnDA,110941_PE,,1,,gen_110941_PE,
ScnDA,110942_PE,,1,,gen_110942_PE,
ScnDA,110943_PE,,1,,gen_110943_PE,
ScnDA,110944_PE,,1,,gen_110944_PE,
ScnDA,111011_P1,,1,,gen_111011_P1,
ScnDA,111161_1,,1,,gen_111161_1,
ScnDA,111181_N1,,1,,gen_111181_N1,
ScnDA,120013_N7,,1,,gen_120013_N7,
ScnDA,120071_L1,,1,,gen_120071_L1,
ScnDA,120072_L2,,1,,gen_120072_L2,
ScnDA,120161_R1,,1,,gen_120161_R1,
ScnDA,130121_W1,,1,,gen_130121_W1,
ScnDA,130121_W2,,1,,gen_130121_W2,
ScnDA,130221_W1,,1,,gen_130221_W1,
ScnDA,130331_W1,,1,,gen_130331_W1,
ScnDA,130431_W1,,1,,gen_130431_W1,
ScnDA,130531_W1,,1,,gen_130531_W1,
ScnDA,130631_W1,,1,,gen_130631_W1,
ScnDA,130731_W1,,1,,gen_130731_W1,
ScnDA,130831_W1,,1,,gen_130831_W1,
ScnDA,130931_W1,,1,,gen_130931_W1,
ScnDA,131031_W1,,1,,gen_131031_W1,
ScnDA,131032_W1,,1,,gen_131032_W1,
ScnDA,131131_PE,,1,,gen_131131_PE,
ScnDA,131141_W1,,1,,gen_131141_W1,
ScnDA,131142_W2,,1,,gen_131142_W2,
ScnDA,131251_W1,,1,,gen_131251_W1,
ScnDA,131351_W1,,1,,gen_131351_W1,
ScnDA,131451_W1,,1,,gen_131451_W1,
ScnDA,131455_W1,,1,,gen_131455_W1,
ScnDA,131551_W1,,1,,gen_131551_W1,
ScnDA,131651_W1,,1,,gen_131651_W1,
ScnDA,131751_W2,,1,,gen_131751_W2,
ScnDA,131752_W3,,1,,gen_131752_W3,
ScnDA,131851_BT,,1,,gen_131851_BT,
ScnDA,131851_W1,,1,,gen_131851_W1,
ScnDA,131851_W2,,1,,gen_131851_W2,
ScnDA,131951_W1,,1,,gen_131951_W1,
ScnDA,131952_W1,,1,,gen_131952_W1,
ScnDA,132111_W1,,1,,gen_132111_W1,
ScnDA,132161_W2,,1,,gen_132161_W2,
ScnDA,132211_W1,,1,,gen_132211_W1,
ScnDA,132212_W2,,1,,gen_132212_W2,
ScnDA,132332_S1,,1,,gen_132332_S1,
ScnDA,132333_S2,,1,,gen_132333_S2,
ScnDA,132382_W1,,1,,gen_132382_W1,
ScnDA,132431_S1,,1,,gen_132431_S1,
ScnDA,132436_1,,1,,gen_132436_1,
ScnDA,132481_S1,,1,,gen_132481_S1,
ScnDA,132631_W1,,1,,gen_132631_W1,
ScnDA,132681_W2,,1,,gen_132681_W2,
ScnDA,132731_1,,1,,gen_132731_1,
ScnDA,132781_G1,,1,,gen_132781_G1,
ScnDA,132831_S1,,1,,gen_132831_S1,
ScnDA,132881_S1,,1,,gen_132881_S1,
ScnDA,132931_BT,,1,,gen_132931_BT,
ScnDA,132941_1,,1,,gen_132941_1,
ScnDA,132991_W1,,1,,gen_132991_W1,
ScnDA,140001_EQ,,1,,gen_140001_EQ,
ScnDA,140081_W1,,1,,gen_140081_W1,
ScnDA,140181_W1,,1,,gen_140181_W1,
ScnDA,140281_W1,,1,,gen_140281_W1,
ScnDA,140331_W1,,1,,gen_140331_W1,
ScnDA,140381_BT,,1,,gen_140381_BT,
ScnDA,140381_W1,,1,,gen_140381_W1,
ScnDA,140382_W2,,1,,gen_140382_W2,
ScnDA,140401_W2,,1,,gen_140401_W2,
ScnDA,140441_W1,,1,,gen_140441_W1,
ScnDA,140471_W1,,1,,gen_140471_W1,
ScnDA,140472_W1,,1,,gen_140472_W1,
ScnDA,140501_W1,,1,,gen_140501_W1,
ScnDA,140502_W2,,1,,gen_140502_W2,
ScnDA,140601_W1,,1,,gen_140601_W1,
ScnDA,140602_W2,,1,,gen_140602_W2,
ScnDA,140651_W1,,1,,gen_140651_W1,
ScnDA,140652_W2,,1,,gen_140652_W2,
ScnDA,140654_W3,,1,,gen_140654_W3,
ScnDA,140655_W4,,1,,gen_140655_W4,
ScnDA,140701_W1,,1,,gen_140701_W1,
ScnDA,140751_W1,,1,,gen_140751_W1,
ScnDA,140752_W2,,1,,gen_140752_W2,
ScnDA,140801_W1,,1,,gen_140801_W1,
ScnDA,140802_W2,,1,,gen_140802_W2,
ScnDA,140851_W1,,1,,gen_140851_W1,
ScnDA,140852_W2,,1,,gen_140852_W2,
ScnDA,140901_W1,,1,,gen_140901_W1,
ScnDA,140902_W2,,1,,gen_140902_W2,
ScnDA,140951_W1,,1,,gen_140951_W1,
ScnDA,140952_W2,,1,,gen_140952_W2,
ScnDA,141001_W1,,1,,gen_141001_W1,
ScnDA,141051_W1,,1,,gen_141051_W1,
ScnDA,141052_W2,,1,,gen_141052_W2,
ScnDA,141151_W1,,1,,gen_141151_W1,
ScnDA,141202_W1,,1,,gen_141202_W1,
ScnDA,141205_W2,,1,,gen_141205_W2,
ScnDA,141302_W1,,1,,gen_141302_W1,
ScnDA,141353_W1,,1,,gen_141353_W1,
ScnDA,141354_W2,,1,,gen_141354_W2,
ScnDA,141401_W1,,1,,gen_141401_W1,
ScnDA,141451_W2,,1,,gen_141451_W2,
ScnDA,141501_W1,,1,,gen_141501_W1,
ScnDA,141501_W2,,1,,gen_141501_W2,
ScnDA,141662_S1,,1,,gen_141662_S1,
ScnDA,141711_W1,,1,,gen_141711_W1,
ScnDA,141761_W1,,1,,gen_141761_W1,
ScnDA,141762_W2,,1,,gen_141762_W2,
ScnDA,141811_W1,,1,,gen_141811_W1,
ScnDA,141812_W2,,1,,gen_141812_W2,
ScnDA,141861_W1,,1,,gen_141861_W1,
ScnDA,141862_W2,,1,,gen_141862_W2,
ScnDA,142011_W1,,1,,gen_142011_W1,
ScnDA,142061_1,,1,,gen_142061_1,
ScnDA,142111_2,,1,,gen_142111_2,
ScnDA,150011_H1,,1,,gen_150011_H1,
ScnDA,150012_H2,,1,,gen_150012_H2,
ScnDA,150041_N1,,1,,gen_150041_N1,
ScnDA,150071_N4,,1,,gen_150071_N4,
ScnDA,150072_N5,,1,,gen_150072_N5,
ScnDA,150162_C0,,1,,gen_150162_C0,
ScnDA,150211_W1,,1,,gen_150211_W1,
ScnDA,150311_W1,,1,,gen_150311_W1,
ScnDA,150312_W2,,1,,gen_150312_W2,
ScnDA,150411_W1,,1,,gen_150411_W1,
ScnDA,150511_W1,,1,,gen_150511_W1,
ScnDA,150611_W1,,1,,gen_150611_W1,
ScnDA,150751_W1,,1,,gen_150751_W1,
ScnDA,150752_W2,,1,,gen_150752_W2,
ScnDA,150801_W1,,1,,gen_150801_W1,
ScnDA,150962_W1,,1,,gen_150962_W1,
ScnDA,150981_W1,,1,,gen_150981_W1,
ScnDA,151031_W1,,1,,gen_151031_W1,
ScnDA,151032_W2,,1,,gen_151032_W2,
