//State,Enode,GenMw,LoadMw,GenNode,LoadNode
0,1,,4.65,,1
0,4,,1.803,,1
0,6,,1.803,,1
0,7,,1.282,,1
0,8,,2.564,,1
0,9,,2.51,,1
0,13,,2.049,,1
0,21,,1.282,,1
0,25,,3.573,,1
0,27,,3.047,,1
0,31,,5.4,,1
0,34,,1.412,,1
0,37,,5.676,,1
0,38,,2.09,,1
0,45,,4.17,,1
0,46,,8.981,,1
0,48,,3.541,,1
0,53,,0.866,,1
0,57,,7.071,,1
0,61,,0.837,,1
0,64,,0.93,,1
0,65,,0.865,,1
0,69,,2.039,,1
0,77,,3.15,,1
0,86,,14.437,,1
0,89,,2.038,,1
0,92,,0.514,,1
0,93,,1.759,,1
0,95,,1.448,,1
0,99,,1.141,,1
0,103,,1.115,,1
0,104,,2.057,,1
0,107,,1.18,,1
0,110,,1.387,,1
0,115,,3.191,,1
0,116,,2.7,,1
0,117,,2.94,,1
0,118,,1.899,,1
0,120,,1.791,,1
0,121,,5.3,,1
0,122,,3.68,,1
0,136,,8.62,,1
0,137,,1.71,,1
0,140,,6.347,,1
0,141,,2.966,,1
0,145,,1.985,,1
0,146,,3.13,,1
0,147,,1.512,,1
0,153,,1.438,,1
0,157,,7.42,,1
0,161,,2.828,,1
0,169,,3.7,,1
0,170,,6.2,,1
0,173,,4.406,,1
0,175,,0.31,,1
0,177,,2.718,,1
0,181,,0.67,,1
0,185,,0.529,,1
0,190,,1.317,,1
0,192,,0.969,,1
0,193,,1.413,,1
0,194,,1.689,,1
0,195,,4.219,,1
0,196,,1.228,,1
0,198,,2.544,,1
0,200,,3.002,,1
0,201,,1.689,,1
0,204,,10.377,,1
0,208,,1.216,,1
0,209,,4.078,,1
0,210,,1.012,,1
0,211,,5.354,,1
0,212,,14.8,,1
0,213,,0.892,,1
0,216,,3.038,,1
0,217,,9.714,,1
0,218,,1.553,,1
0,220,,16.1,,1
0,221,,2.499,,1
0,223,,9.051,,1
0,224,,1.377,,1
0,225,,3.528,,1
0,228,,2.56,,1
0,230,,1.588,,1
0,234,,2.488,,1
0,236,,2.699,,1
0,237,,2.289,,1
0,249,,3.343,,1
0,254,,4.453,,1
0,258,,2.034,,1
0,260,,2.664,,1
0,262,,0.723,,1
0,268,,1.237,,1
0,269,,1.237,,1
0,271,,4.093,,1
0,273,,0.791,,1
0,277,,1.096,,1
0,280,,8.05,,1
0,281,,1.025,,1
0,283,,2.081,,1
0,285,,0.875,,1
0,288,,1.71,,1
0,289,,1.261,,1
0,290,,3.665,,1
0,291,,0.932,,1
0,293,,3.63,,1
0,294,,4.323,,1
0,298,,5.529,,1
0,299,,3.524,,1
0,300,,1.692,,1
0,301,,2.02,,1
0,302,,3.298,,1
0,303,,5.608,,1
0,304,,8.651,,1
0,305,,3.8,,1
0,310,,1.988,,1
0,311,,1.653,,1
0,315,,2.529,,1
0,319,,1.403,,1
0,323,,0.26,,1
0,325,,6.611,,1
0,327,,0.985,,1
0,331,,3.88,,1
0,343,,11.986,,1
0,350,,2.14,,1
0,352,,3.824,,1
0,363,,0.379,,1
0,370,,6,,1
0,373,,8.328,,1
0,377,,6.989,,1
0,380,,6.859,,1
0,384,,2.56,,1
0,385,,16.345,,1
0,387,,4.52,,1
0,391,,7.177,,1
0,395,,17.5,,1
0,398,,7.496,,1
0,399,,3.65,,1
0,404,,8.851,,1
0,405,,5.001,,1
0,412,,14.57,,1
0,415,,5.047,,1
0,419,,6.636,,1
0,420,,5.134,,1
0,428,,2.193,,1
0,429,,3.732,,1
0,430,,5.26,,1
0,432,,2.976,,1
0,433,,14.2,,1
0,435,,3.198,,1
0,440,,4.39,,1
0,441,,8.768,,1
0,442,,27.012,,1
0,444,,3.804,,1
0,445,,5.102,,1
0,447,,2.968,,1
0,455,,3.518,,1
0,470,,4.24,,1
0,471,,21.814,,1
0,473,,4.087,,1
0,475,,5,,1
0,480,,13.838,,1
0,484,,4.356,,1
0,485,,5.998,,1
0,487,,4.839,,1
0,491,,1.775,,1
0,494,,5.504,,1
0,495,,6.152,,1
0,499,,12.612,,1
0,505,,8.606,,1
0,512,,10.224,,1
0,514,,9,,1
0,515,,4.589,,1
0,516,,4.839,,1
0,518,,1.492,,1
0,519,,2.422,,1
0,522,,10,,1
0,526,,7.677,,1
0,527,,5.998,,1
0,530,,5.306,,1
0,531,,5.345,,1
0,532,,5.636,,1
0,537,,2.77,,1
0,545,,3.258,,1
0,548,,1.976,,1
0,555,,27.012,,1
0,556,,29.017,,1
0,559,,32.783,,1
0,564,,14.899,,1
0,565,,25.247,,1
0,566,,27.021,,1
0,568,,0.02,,1
0,572,,1.988,,1
0,573,,4.682,,1
0,578,,7.97,,1
0,583,,4.207,,1
0,584,,2.696,,1
0,585,,20.105,,1
0,587,,2.405,,1
0,588,,0.15,,1
0,590,,10.014,,1
0,595,,1.689,,1
0,596,,3.706,,1
0,598,,18.7,,1
0,600,,2.556,,1
0,601,,9.259,,1
0,602,,84,,1
0,608,,6.783,,1
0,610,,3.376,,1
0,616,,1.386,,1
0,618,,0.725,,1
0,620,,6.66,,1
0,625,,13.494,,1
0,626,,6.747,,1
0,628,,33.472,,1
0,629,,38,,1
0,631,,0.492,,1
0,635,,0.84,,1
0,636,,1.539,,1
0,640,,18.686,,1
0,649,,64.24,,1
0,651,,82.743,,1
0,652,,17.253,,1
0,653,,31.869,,1
0,655,,32.259,,1
0,656,,11.457,,1
0,658,,21.938,,1
0,659,,117.966,,1
0,660,,4.176,,1
0,661,,11.999,,1
0,663,,43.545,,1
0,664,,18.919,,1
0,668,,58.512,,1
0,670,,14.899,,1
0,672,,7.231,,1
0,675,,128.02,,1
0,679,,28.07,,1
0,680,,8.926,,1
0,681,,35.087,,1
0,685,,8.651,,1
0,686,,8.651,,1
0,691,,2.955,,1
0,695,,4.476,,1
0,698,,3.09,,1
0,704,,3.101,,1
0,706,,4.345,,1
0,707,,0.64,,1
0,708,,1.821,,1
0,718,,5.528,,1
0,726,,2.764,,1
0,727,,2.363,,1
0,733,,0.817,,1
0,734,,0.252,,1
0,735,,3.504,,1
0,736,,1.429,,1
0,737,,0.644,,1
0,740,,2.8,,1
0,741,,30,,1
0,742,,5.102,,1
0,743,,64.619,,1
0,744,,1.698,,1
0,745,,4.936,,1
0,747,,1.048,,1
0,748,,0.883,,1
0,751,,1.709,,1
0,752,,0.438,,1
0,753,,1.004,,1
0,754,,2.722,,1
0,755,,1.416,,1
0,756,,1.715,,1
0,758,,2.27,,1
0,763,,0.187,,1
0,764,,0.739,,1
0,765,,0.759,,1
0,766,,3.397,,1
0,768,,2.367,,1
0,770,,0.558,,1
0,771,,0.99,,1
0,772,,2.051,,1
0,773,,3.139,,1
0,774,,3.047,,1
0,775,,2.189,,1
0,776,,0.363,,1
0,779,,3.018,,1
0,780,,0.256,,1
0,783,,0.235,,1
0,784,,0.313,,1
0,788,,7.072,,1
0,791,,2.971,,1
0,792,,2.056,,1
0,796,,1.272,,1
0,802,,27,,1
0,804,,6.223,,1
0,805,,19,,1
