//Substation,Name,Area
111138,111138_STAR,WZ_COAST
111139,111139_STAR,WZ_COAST
111140,111140_STAR,WZ_COAST
111181,111181_,WZ_COAST
5427,36TH_ST,WZ_SOUTH_CENTRAL
49117,49117_STAR,WZ_COAST
49118,49118_STAR,WZ_COAST
49130,49130_STAR,WZ_COAST
49139,49139_STAR,WZ_COAST
49149,49149_STAR,WZ_COAST
49151,49151_STAR,WZ_COAST
49168,49168_STAR,WZ_NORTH_CENTRAL
49169,49169_STAR,WZ_NORTH_CENTRAL
49171,49171_STAR,WZ_COAST
49172,49172_STAR,WZ_COAST
49173,49173_STAR,WZ_COAST
49174,49174_STAR,WZ_COAST
49178,49178_STAR,WZ_COAST
24015,700206_3STAR,WZ_WEST
24016,700207_3STAR,WZ_WEST
24017,700208_3STAR,WZ_WEST
24018,700209_3STAR,WZ_WEST
2808,8009001_8,WZ_NORTH_CENTRAL
2809,8009002_8,WZ_NORTH_CENTRAL
2810,8009003_8,WZ_NORTH_CENTRAL
8381,8381_3STAR,WZ_SOUTHERN
3524,ABBOTT1_9,WZ_NORTH_CENTRAL
350,ABBYBEND,WZ_NORTH_CENTRAL
6273,ABDY1TAP2A,WZ_WEST
6276,ABEAST2A,WZ_WEST
6277,ABEAST2B,WZ_WEST
6275,ABEAST4A,WZ_WEST
79506,ABERNATH,WZ_NORTH
6772,ABIP4A,WZ_WEST
12469,ABLSPRG_P8,WZ_NORTH_CENTRAL
900957,ABLSPRG_P8,WZ_NORTH_CENTRAL
12470,ABLSPRG_T8,WZ_NORTH_CENTRAL
6831,ABLSPRRC,WZ_NORTH_CENTRAL
6235,ABMULCW7,WZ_WEST
6224,ABNTHWST2A,WZ_WEST
6201,ABNTHWST4B,WZ_WEST
6283,ABOM2A,WZ_WEST
6278,ABPLTTP2A,WZ_WEST
6282,ABPOWERS2A,WZ_WEST
906840,ABPOWERS2A,WZ_WEST
2894,ABRAMS1_8,WZ_NORTH_CENTRAL
2895,ABRAMS2_8,WZ_NORTH_CENTRAL
6281,ABWALNUT2A,WZ_WEST
906837,ABWALNUT2A,WZ_WEST
6284,ABWTGUT2,WZ_WEST
60339,ACACIA2A,WZ_FAR_WEST
170200,ACA_UNIT1,WZ_FAR_WEST
1365,ACKCHEV_9,WZ_FAR_WEST
1359,ACKCHEV_T9,WZ_FAR_WEST
1362,ACKERLY_9,WZ_FAR_WEST
1363,ACKRLNTC_9,WZ_FAR_WEST
6052,ACME2A,WZ_NORTH
373,ACTON,WZ_NORTH_CENTRAL
5754,ADERHOLDSUB8,WZ_SOUTHERN
45611,ADICKS24T3_8,WZ_COAST
48002,ADICKS24TP_8,WZ_COAST
49161,ADICKS_A1STR,WZ_COAST
49061,ADICKS_A1TER,WZ_COAST
49183,ADICKS_A2STR,WZ_COAST
49083,ADICKS_A2TER,WZ_COAST
45610,ADICKS__B138,WZ_COAST
45600,ADICKS__B345,WZ_COAST
1178,ADOBEMEW_8,WZ_FAR_WEST
2569,ADSN1_8,WZ_NORTH_CENTRAL
903472,ADSN1_8,WZ_NORTH_CENTRAL
2575,ADSN3T_8,WZ_NORTH_CENTRAL
518,ADVANCE,WZ_NORTH_CENTRAL
141607,AEEC_5,WZ_NORTH
5689,AEPCHKCNSUB8,WZ_SOUTHERN
6142,AFTON2A,WZ_NORTH
532,AGNES,WZ_NORTH_CENTRAL
511,AGNESSWTCH,WZ_NORTH_CENTRAL
6291,AILEEN2A,WZ_WEST
12719,AIRCO2_T8,WZ_NORTH_CENTRAL
8144,AIRCO44A,WZ_COAST
2720,AIRCO_8,WZ_NORTH_CENTRAL
2719,AIRCO_T8,WZ_NORTH_CENTRAL
8561,AIRLINE2B,WZ_SOUTHERN
8490,AIRLINE4A,WZ_SOUTHERN
45630,AIRLIN_S21_8,WZ_COAST
2606,AIRLIQD1_8,WZ_NORTH_CENTRAL
2283,AIRLIQD_P8,WZ_NORTH_CENTRAL
6580,AIRP2A,WZ_FAR_WEST
1325,AIRPARK_8,WZ_FAR_WEST
59460,AIRPORT,WZ_SOUTHERN
2306,AIRPRD1_8,WZ_NORTH_CENTRAL
2305,AIRPRD_T8,WZ_NORTH_CENTRAL
5946,AIRPRT69,WZ_SOUTHERN
