//scn,ara,int,Load,Loss,P,NetIC,Violation,Penalty,SP,BalancePrice,LoadPrice,LoadCost,SourcePrice,SourceRevenue,NetIcCost,NetIcRevenue
ScnDA,0,1,56733.757,0.000,56733.757,0.000,0.000,0.000,20.889,20.889,30.448,1727427.489,20.889,0.000,0.000,0.000
ScnDA,0,2,56315.714,0.000,56315.714,0.000,0.000,0.000,23.618,23.618,30.753,1731860.462,23.618,0.000,0.000,0.000
ScnDA,0,3,56174.230,0.000,56174.230,0.000,0.000,0.000,26.477,26.477,31.678,1779513.946,26.477,0.000,0.000,0.000
ScnDA,0,4,56343.361,0.000,56343.361,0.000,0.000,0.000,26.899,26.899,32.089,1808020.623,26.899,0.000,0.000,0.000
ScnDA,0,5,57016.907,0.000,57016.907,0.000,0.000,0.000,30.916,30.916,32.313,1842361.828,30.916,0.000,0.000,0.000
ScnDA,0,6,58308.244,0.000,58308.244,0.000,0.000,0.000,32.118,32.118,32.633,1902764.392,32.118,0.000,0.000,0.000
ScnDA,0,7,59976.002,0.000,59976.002,0.000,0.000,0.000,32.617,32.617,33.073,1983597.938,32.617,0.000,0.000,0.000
ScnDA,0,8,61326.651,0.000,61326.651,0.000,0.000,0.000,32.684,32.684,33.159,2033545.723,32.684,0.000,0.000,0.000
ScnDA,0,9,61543.235,0.000,61543.235,0.000,0.000,0.000,31.693,31.693,33.015,2031842.422,31.693,0.000,0.000,0.000
ScnDA,0,10,60967.592,0.000,60967.592,0.000,0.000,0.000,2.935,2.935,30.566,1863532.850,2.935,0.000,0.000,0.000
ScnDA,0,11,60368.200,0.000,60368.200,0.000,0.000,0.000,2.183,2.183,30.249,1826053.459,2.183,0.000,0.000,0.000
ScnDA,0,12,59712.349,0.000,59712.349,0.000,0.000,0.000,2.352,2.352,29.406,1755917.321,2.352,0.000,0.000,0.000
ScnDA,0,13,59296.412,0.000,59296.412,0.000,0.000,0.000,2.081,2.081,28.969,1717770.616,2.081,0.000,0.000,0.000
ScnDA,0,14,59032.700,0.000,59032.700,0.000,0.000,0.000,2.010,2.010,28.999,1711913.452,2.010,0.000,0.000,0.000
ScnDA,0,15,58817.191,0.000,58817.191,0.000,0.000,0.000,1.649,1.649,28.390,1669828.131,1.649,0.000,0.000,0.000
ScnDA,0,16,58740.716,0.000,58740.716,0.000,0.000,0.000,1.069,1.069,28.390,1667648.262,1.069,0.000,0.000,0.000
ScnDA,0,17,59170.832,0.000,59170.832,0.000,0.000,0.000,1.661,1.661,28.947,1712827.857,1.661,0.000,0.000,0.000
ScnDA,0,18,60353.700,0.000,60353.700,0.000,0.000,0.000,4.151,4.151,29.687,1791736.318,4.151,0.000,0.000,0.000
ScnDA,0,19,61098.844,0.000,61098.844,0.000,0.000,0.000,8.649,8.649,31.420,1919746.659,8.649,0.000,0.000,0.000
ScnDA,0,20,60783.163,0.000,60783.163,0.000,0.000,0.000,14.415,14.415,31.179,1895132.821,14.415,0.000,0.000,0.000
ScnDA,0,21,59859.823,0.000,59859.823,0.000,0.000,0.000,14.324,14.324,31.152,1864756.453,14.324,0.000,0.000,0.000
ScnDA,0,22,58023.875,0.000,58023.875,0.000,0.000,0.000,14.580,14.580,30.802,1787240.822,14.580,0.000,0.000,0.000
ScnDA,0,23,55414.620,0.000,55414.620,0.000,0.000,0.000,7.968,7.968,28.775,1594579.349,7.968,0.000,0.000,0.000
ScnDA,0,24,53255.543,0.000,53255.543,0.000,0.000,0.000,7.917,7.917,28.581,1522080.549,7.917,0.000,0.000,0.000
ScnDA,WZ_COAST,1,15656.845,0.000,12451.193,0.000,0.000,0.000,0.000,20.889,30.706,480761.214,30.314,377450.563,0.000,0.000
ScnDA,WZ_COAST,2,15510.141,0.000,12808.477,0.000,0.000,0.000,0.000,23.618,30.773,477300.284,30.439,389871.811,0.000,0.000
ScnDA,WZ_COAST,3,15446.296,0.000,12944.696,0.000,0.000,0.000,0.000,26.477,31.649,488857.854,30.928,400348.037,0.000,0.000
ScnDA,WZ_COAST,4,15474.845,0.000,13041.755,0.000,0.000,0.000,0.000,26.899,32.360,500760.904,32.026,417675.043,0.000,0.000
ScnDA,WZ_COAST,5,15622.194,0.000,12999.860,0.000,0.000,0.000,0.000,30.916,31.957,499245.529,31.198,405567.669,0.000,0.000
ScnDA,WZ_COAST,6,15900.919,0.000,14206.444,0.000,0.000,0.000,0.000,32.118,32.249,512793.461,31.572,448523.134,0.000,0.000
ScnDA,WZ_COAST,7,16243.622,0.000,14747.871,0.000,0.000,0.000,0.000,32.617,32.651,530368.449,31.982,471668.446,0.000,0.000
ScnDA,WZ_COAST,8,16579.477,0.000,14948.181,0.000,0.000,0.000,0.000,32.684,32.721,542501.369,32.060,479241.445,0.000,0.000
ScnDA,WZ_COAST,9,16776.407,0.000,14566.559,0.000,0.000,0.000,0.000,31.693,32.835,550852.018,32.425,472319.054,0.000,0.000
ScnDA,WZ_COAST,10,16839.182,0.000,14508.157,0.000,0.000,0.000,0.000,2.935,32.303,543960.196,32.044,464892.437,0.000,0.000
ScnDA,WZ_COAST,11,16891.145,0.000,13253.320,0.000,0.000,0.000,0.000,2.183,32.217,544182.636,31.934,423234.000,0.000,0.000
ScnDA,WZ_COAST,12,16883.782,0.000,13273.160,0.000,0.000,0.000,0.000,2.352,31.511,532025.872,31.288,415294.415,0.000,0.000
