//scn,inj,int,Cap,Max,Min,P,RC,Marginal,LMP,LoadPrice,BalancePrice,CostTotal,CostOfEnergy,CostOfAdder,CostOfRamp,Revenue,Mileage,ViolationRR,PenaltyRR,Up,UpCap,UpMax
ScnDA,109003_EQ,1,80.000,76.591,0.000,76.591,-27.727,0,29.741,29.931,20.889,154.229,0.000,154.229,0.000,2277.894,0.000,0.000,0.000,1,80.000,76.591
ScnDA,109003_EQ,2,80.000,76.410,0.000,76.410,-28.362,0,30.376,30.501,23.618,153.864,0.000,153.864,0.000,2321.000,0.181,0.000,0.000,1,80.000,76.410
ScnDA,109003_EQ,3,80.000,75.311,0.000,75.311,-30.334,0,32.348,32.573,26.477,151.650,0.000,151.650,0.000,2436.149,1.099,0.000,0.000,1,80.000,75.311
ScnDA,109003_EQ,4,80.000,73.917,0.000,73.917,-30.385,0,32.398,32.485,26.899,148.843,0.000,148.843,0.000,2394.779,1.394,0.000,0.000,1,80.000,73.917
ScnDA,109003_EQ,5,80.000,72.665,0.000,72.665,-30.554,0,32.568,32.739,30.916,146.322,0.000,146.322,0.000,2366.526,1.252,0.000,0.000,1,80.000,72.665
ScnDA,109003_EQ,6,80.000,71.781,0.000,71.781,-30.953,0,32.966,33.126,32.118,144.543,0.000,144.543,0.000,2366.371,0.883,0.000,0.000,1,80.000,71.781
ScnDA,109003_EQ,7,80.000,70.793,0.000,70.793,-31.401,0,33.414,33.577,32.617,142.554,0.000,142.554,0.000,2365.495,0.988,0.000,0.000,1,80.000,70.793
ScnDA,109003_EQ,8,80.000,70.443,0.000,70.443,-31.476,0,33.489,33.653,32.684,141.848,0.000,141.848,0.000,2359.077,0.350,0.000,0.000,1,80.000,70.443
ScnDA,109003_EQ,9,80.000,67.162,0.000,67.162,-30.817,0,32.831,32.889,31.693,135.242,0.000,135.242,0.000,2204.966,3.281,0.000,0.000,1,80.000,67.162
ScnDA,109003_EQ,10,80.000,61.921,0.000,61.921,-29.334,0,31.348,31.759,2.935,124.689,0.000,124.689,0.000,1941.111,5.241,0.000,0.000,1,80.000,61.921
ScnDA,109003_EQ,11,80.000,58.388,0.000,58.388,-29.597,0,31.610,31.960,2.183,117.575,0.000,117.575,0.000,1845.683,3.533,0.000,0.000,1,80.000,58.388
