//scn,inj,int,FO,SO,NotInstalled,CapMw,MaxMw
ScnDA,109021_B1,1,0.000,0.000,0.000,25.000,0.114
ScnDA,109021_B1,2,0.000,0.000,0.000,25.000,0.114
ScnDA,109021_B1,3,0.000,0.000,0.000,25.000,0.114
ScnDA,109021_B1,4,0.000,0.000,0.000,25.000,0.114
ScnDA,109021_B1,5,0.000,0.000,0.000,25.000,0.114
ScnDA,109021_B1,6,0.000,0.000,0.000,25.000,0.114
ScnDA,109021_B1,7,0.000,0.000,0.000,25.000,0.114
ScnDA,109021_B1,20,0.000,0.000,0.000,25.000,0.114
ScnDA,109021_B1,21,0.000,0.000,0.000,25.000,0.114
ScnDA,109021_B1,22,0.000,0.000,0.000,25.000,0.114
ScnDA,109021_B1,23,0.000,0.000,0.000,25.000,0.114
ScnDA,109021_B1,24,0.000,0.000,0.000,25.000,0.114
ScnDA,110231_P1,1,0.000,0.000,0.000,35.000,0.675
ScnDA,110231_P1,2,0.000,0.000,0.000,35.000,0.675
ScnDA,110231_P1,3,0.000,0.000,0.000,35.000,0.675
ScnDA,110231_P1,4,0.000,0.000,0.000,35.000,0.675
ScnDA,110231_P1,5,0.000,0.000,0.000,35.000,0.675
ScnDA,110231_P1,6,0.000,0.000,0.000,35.000,0.675
ScnDA,110231_P1,7,0.000,0.000,0.000,35.000,0.675
ScnDA,110231_P1,19,0.000,0.000,0.000,35.000,0.675
ScnDA,110231_P1,20,0.000,0.000,0.000,35.000,0.675
ScnDA,110231_P1,21,0.000,0.000,0.000,35.000,0.675
ScnDA,110231_P1,22,0.000,0.000,0.000,35.000,0.675
ScnDA,110231_P1,23,0.000,0.000,0.000,35.000,0.675
ScnDA,110231_P1,24,0.000,0.000,0.000,35.000,0.675
ScnDA,110331_P1,1,0.000,0.000,0.000,34.000,0.656
ScnDA,110331_P1,2,0.000,0.000,0.000,34.000,0.656
ScnDA,110331_P1,3,0.000,0.000,0.000,34.000,0.656
ScnDA,110331_P1,4,0.000,0.000,0.000,34.000,0.656
ScnDA,110331_P1,5,0.000,0.000,0.000,34.000,0.656
ScnDA,110331_P1,6,0.000,0.000,0.000,34.000,0.656
ScnDA,110331_P1,7,0.000,0.000,0.000,34.000,0.656
ScnDA,110331_P1,19,0.000,0.000,0.000,34.000,0.656
ScnDA,110331_P1,20,0.000,0.000,0.000,34.000,0.656
ScnDA,110331_P1,21,0.000,0.000,0.000,34.000,0.656
ScnDA,110331_P1,22,0.000,0.000,0.000,34.000,0.656
ScnDA,110331_P1,23,0.000,0.000,0.000,34.000,0.656
ScnDA,110331_P1,24,0.000,0.000,0.000,34.000,0.656
ScnDA,110331_P5,1,0.000,0.000,0.000,13.000,0.251
ScnDA,110331_P5,2,0.000,0.000,0.000,13.000,0.251
ScnDA,110331_P5,3,0.000,0.000,0.000,13.000,0.251
ScnDA,110331_P5,4,0.000,0.000,0.000,13.000,0.251
ScnDA,110331_P5,5,0.000,0.000,0.000,13.000,0.251
ScnDA,110331_P5,6,0.000,0.000,0.000,13.000,0.251
ScnDA,110331_P5,7,0.000,0.000,0.000,13.000,0.251
ScnDA,110331_P5,19,0.000,0.000,0.000,13.000,0.251
ScnDA,110331_P5,20,0.000,0.000,0.000,13.000,0.251
ScnDA,110331_P5,21,0.000,0.000,0.000,13.000,0.251
