//scn,fue,ara,int,Fuel,Cost,CostOfScaling,CostOfAdder
ScnDA,coal,0,1,139375.866,273176.697,0.000,0.000
ScnDA,coal,0,2,139375.866,273176.697,0.000,0.000
ScnDA,coal,0,3,139961.924,274325.371,0.000,0.000
ScnDA,coal,0,4,143099.924,280475.851,0.000,0.000
ScnDA,coal,0,5,145308.909,284805.462,0.000,0.000
ScnDA,coal,0,6,145308.909,284805.462,0.000,0.000
ScnDA,coal,0,7,145308.909,284805.462,0.000,0.000
ScnDA,coal,0,8,145308.909,284805.462,0.000,0.000
ScnDA,coal,0,9,142513.866,279327.177,0.000,0.000
ScnDA,coal,0,10,139375.866,273176.697,0.000,0.000
ScnDA,coal,0,11,139375.866,273176.697,0.000,0.000
ScnDA,coal,0,12,139375.866,273176.697,0.000,0.000
ScnDA,coal,0,13,139375.866,273176.697,0.000,0.000
ScnDA,coal,0,14,139375.866,273176.697,0.000,0.000
ScnDA,coal,0,15,139375.866,273176.697,0.000,0.000
ScnDA,coal,0,16,139375.866,273176.697,0.000,0.000
ScnDA,coal,0,17,139375.866,273176.697,0.000,0.000
ScnDA,coal,0,18,139375.866,273176.697,0.000,0.000
ScnDA,coal,0,19,139375.866,273176.697,0.000,0.000
ScnDA,coal,0,20,139375.866,273176.697,0.000,0.000
ScnDA,coal,0,21,139375.866,273176.697,0.000,0.000
ScnDA,coal,0,22,139375.866,273176.697,0.000,0.000
ScnDA,coal,0,23,139375.866,273176.697,0.000,0.000
ScnDA,coal,0,24,139375.866,273176.697,0.000,0.000
ScnDA,coal,WZ_COAST,1,23400.366,45864.717,0.000,0.000
ScnDA,coal,WZ_COAST,2,23400.366,45864.717,0.000,0.000
ScnDA,coal,WZ_COAST,3,23400.366,45864.717,0.000,0.000
ScnDA,coal,WZ_COAST,4,23400.366,45864.717,0.000,0.000
ScnDA,coal,WZ_COAST,5,23400.366,45864.717,0.000,0.000
ScnDA,coal,WZ_COAST,6,23400.366,45864.717,0.000,0.000
ScnDA,coal,WZ_COAST,7,23400.366,45864.717,0.000,0.000
ScnDA,coal,WZ_COAST,8,23400.366,45864.717,0.000,0.000
ScnDA,coal,WZ_COAST,9,23400.366,45864.717,0.000,0.000
ScnDA,coal,WZ_COAST,10,23400.366,45864.717,0.000,0.000
ScnDA,coal,WZ_COAST,11,23400.366,45864.717,0.000,0.000
ScnDA,coal,WZ_COAST,12,23400.366,45864.717,0.000,0.000
ScnDA,coal,WZ_COAST,13,23400.366,45864.717,0.000,0.000
ScnDA,coal,WZ_COAST,14,23400.366,45864.717,0.000,0.000
ScnDA,coal,WZ_COAST,15,23400.366,45864.717,0.000,0.000
ScnDA,coal,WZ_COAST,16,23400.366,45864.717,0.000,0.000
ScnDA,coal,WZ_COAST,17,23400.366,45864.717,0.000,0.000
ScnDA,coal,WZ_COAST,18,23400.366,45864.717,0.000,0.000
ScnDA,coal,WZ_COAST,19,23400.366,45864.717,0.000,0.000
ScnDA,coal,WZ_COAST,20,23400.366,45864.717,0.000,0.000
ScnDA,coal,WZ_COAST,21,23400.366,45864.717,0.000,0.000
ScnDA,coal,WZ_COAST,22,23400.366,45864.717,0.000,0.000
ScnDA,coal,WZ_COAST,23,23400.366,45864.717,0.000,0.000
ScnDA,coal,WZ_COAST,24,23400.366,45864.717,0.000,0.000
ScnDA,coal,WZ_EAST,1,48132.563,94339.824,0.000,0.000
ScnDA,coal,WZ_EAST,2,48132.563,94339.824,0.000,0.000
ScnDA,coal,WZ_EAST,3,48132.563,94339.824,0.000,0.000
ScnDA,coal,WZ_EAST,4,48132.563,94339.824,0.000,0.000
ScnDA,coal,WZ_EAST,5,48132.563,94339.824,0.000,0.000
ScnDA,coal,WZ_EAST,6,48132.563,94339.824,0.000,0.000
ScnDA,coal,WZ_EAST,7,48132.563,94339.824,0.000,0.000
ScnDA,coal,WZ_EAST,8,48132.563,94339.824,0.000,0.000
ScnDA,coal,WZ_EAST,9,48132.563,94339.824,0.000,0.000
ScnDA,coal,WZ_EAST,10,48132.563,94339.824,0.000,0.000
ScnDA,coal,WZ_EAST,11,48132.563,94339.824,0.000,0.000
ScnDA,coal,WZ_EAST,12,48132.563,94339.824,0.000,0.000
ScnDA,coal,WZ_EAST,13,48132.563,94339.824,0.000,0.000
ScnDA,coal,WZ_EAST,14,48132.563,94339.824,0.000,0.000
ScnDA,coal,WZ_EAST,15,48132.563,94339.824,0.000,0.000
ScnDA,coal,WZ_EAST,16,48132.563,94339.824,0.000,0.000
ScnDA,coal,WZ_EAST,17,48132.563,94339.824,0.000,0.000
ScnDA,coal,WZ_EAST,18,48132.563,94339.824,0.000,0.000
ScnDA,coal,WZ_EAST,19,48132.563,94339.824,0.000,0.000
ScnDA,coal,WZ_EAST,20,48132.563,94339.824,0.000,0.000
ScnDA,coal,WZ_EAST,21,48132.563,94339.824,0.000,0.000
ScnDA,coal,WZ_EAST,22,48132.563,94339.824,0.000,0.000
ScnDA,coal,WZ_EAST,23,48132.563,94339.824,0.000,0.000
ScnDA,coal,WZ_EAST,24,48132.563,94339.824,0.000,0.000
ScnDA,coal,WZ_FAR_WEST,1,0.000,0.000,0.000,0.000
ScnDA,coal,WZ_FAR_WEST,2,0.000,0.000,0.000,0.000
ScnDA,coal,WZ_FAR_WEST,3,0.000,0.000,0.000,0.000
ScnDA,coal,WZ_FAR_WEST,4,0.000,0.000,0.000,0.000
ScnDA,coal,WZ_FAR_WEST,5,0.000,0.000,0.000,0.000
ScnDA,coal,WZ_FAR_WEST,6,0.000,0.000,0.000,0.000
ScnDA,coal,WZ_FAR_WEST,7,0.000,0.000,0.000,0.000
ScnDA,coal,WZ_FAR_WEST,8,0.000,0.000,0.000,0.000
ScnDA,coal,WZ_FAR_WEST,9,0.000,0.000,0.000,0.000
ScnDA,coal,WZ_FAR_WEST,10,0.000,0.000,0.000,0.000
ScnDA,coal,WZ_FAR_WEST,11,0.000,0.000,0.000,0.000
ScnDA,coal,WZ_FAR_WEST,12,0.000,0.000,0.000,0.000
ScnDA,coal,WZ_FAR_WEST,13,0.000,0.000,0.000,0.000
ScnDA,coal,WZ_FAR_WEST,14,0.000,0.000,0.000,0.000
ScnDA,coal,WZ_FAR_WEST,15,0.000,0.000,0.000,0.000
ScnDA,coal,WZ_FAR_WEST,16,0.000,0.000,0.000,0.000
ScnDA,coal,WZ_FAR_WEST,17,0.000,0.000,0.000,0.000
ScnDA,coal,WZ_FAR_WEST,18,0.000,0.000,0.000,0.000
ScnDA,coal,WZ_FAR_WEST,19,0.000,0.000,0.000,0.000
ScnDA,coal,WZ_FAR_WEST,20,0.000,0.000,0.000,0.000
ScnDA,coal,WZ_FAR_WEST,21,0.000,0.000,0.000,0.000
ScnDA,coal,WZ_FAR_WEST,22,0.000,0.000,0.000,0.000
ScnDA,coal,WZ_FAR_WEST,23,0.000,0.000,0.000,0.000
ScnDA,coal,WZ_FAR_WEST,24,0.000,0.000,0.000,0.000
ScnDA,coal,WZ_NORTH,1,0.000,0.000,0.000,0.000
ScnDA,coal,WZ_NORTH,2,0.000,0.000,0.000,0.000
ScnDA,coal,WZ_NORTH,3,586.058,1148.674,0.000,0.000
ScnDA,coal,WZ_NORTH,4,3724.058,7299.154,0.000,0.000
ScnDA,coal,WZ_NORTH,5,5933.043,11628.765,0.000,0.000
ScnDA,coal,WZ_NORTH,6,5933.043,11628.765,0.000,0.000
ScnDA,coal,WZ_NORTH,7,5933.043,11628.765,0.000,0.000
ScnDA,coal,WZ_NORTH,8,5933.043,11628.765,0.000,0.000
ScnDA,coal,WZ_NORTH,9,3138.000,6150.480,0.000,0.000
ScnDA,coal,WZ_NORTH,10,0.000,0.000,0.000,0.000
ScnDA,coal,WZ_NORTH,11,0.000,0.000,0.000,0.000
ScnDA,coal,WZ_NORTH,12,0.000,0.000,0.000,0.000
ScnDA,coal,WZ_NORTH,13,0.000,0.000,0.000,0.000
ScnDA,coal,WZ_NORTH,14,0.000,0.000,0.000,0.000
ScnDA,coal,WZ_NORTH,15,0.000,0.000,0.000,0.000
ScnDA,coal,WZ_NORTH,16,0.000,0.000,0.000,0.000
ScnDA,coal,WZ_NORTH,17,0.000,0.000,0.000,0.000
ScnDA,coal,WZ_NORTH,18,0.000,0.000,0.000,0.000
ScnDA,coal,WZ_NORTH,19,0.000,0.000,0.000,0.000
ScnDA,coal,WZ_NORTH,20,0.000,0.000,0.000,0.000
ScnDA,coal,WZ_NORTH,21,0.000,0.000,0.000,0.000
ScnDA,coal,WZ_NORTH,22,0.000,0.000,0.000,0.000
ScnDA,coal,WZ_NORTH,23,0.000,0.000,0.000,0.000
ScnDA,coal,WZ_NORTH,24,0.000,0.000,0.000,0.000
ScnDA,coal,WZ_NORTH_CENTRAL,1,23542.855,46143.997,0.000,0.000
ScnDA,coal,WZ_NORTH_CENTRAL,2,23542.855,46143.997,0.000,0.000
ScnDA,coal,WZ_NORTH_CENTRAL,3,23542.855,46143.997,0.000,0.000
ScnDA,coal,WZ_NORTH_CENTRAL,4,23542.855,46143.997,0.000,0.000
ScnDA,coal,WZ_NORTH_CENTRAL,5,23542.855,46143.997,0.000,0.000
ScnDA,coal,WZ_NORTH_CENTRAL,6,23542.855,46143.997,0.000,0.000
ScnDA,coal,WZ_NORTH_CENTRAL,7,23542.855,46143.997,0.000,0.000
ScnDA,coal,WZ_NORTH_CENTRAL,8,23542.855,46143.997,0.000,0.000
ScnDA,coal,WZ_NORTH_CENTRAL,9,23542.855,46143.997,0.000,0.000
ScnDA,coal,WZ_NORTH_CENTRAL,10,23542.855,46143.997,0.000,0.000
ScnDA,coal,WZ_NORTH_CENTRAL,11,23542.855,46143.997,0.000,0.000
ScnDA,coal,WZ_NORTH_CENTRAL,12,23542.855,46143.997,0.000,0.000
ScnDA,coal,WZ_NORTH_CENTRAL,13,23542.855,46143.997,0.000,0.000
ScnDA,coal,WZ_NORTH_CENTRAL,14,23542.855,46143.997,0.000,0.000
ScnDA,coal,WZ_NORTH_CENTRAL,15,23542.855,46143.997,0.000,0.000
