//scn,uth,int,Rate,Start,Received,Exhaust,Cost
ScnDA,110011_N1,1,0.000,0.000,0.000,0.000,0.000
ScnDA,110011_N1,2,0.000,0.000,0.000,0.000,0.000
ScnDA,110011_N1,3,0.000,0.000,0.000,0.000,0.000
ScnDA,110011_N1,4,0.000,0.000,0.000,0.000,0.000
ScnDA,110011_N1,5,0.000,0.000,0.000,0.000,0.000
ScnDA,110011_N1,6,0.000,0.000,0.000,0.000,0.000
ScnDA,110011_N1,7,0.000,0.000,0.000,0.000,0.000
ScnDA,110011_N1,8,0.000,0.000,0.000,0.000,0.000
ScnDA,110011_N1,9,0.000,0.000,0.000,0.000,0.000
ScnDA,110011_N1,10,0.000,0.000,0.000,0.000,0.000
ScnDA,110011_N1,11,0.000,0.000,0.000,0.000,0.000
ScnDA,110011_N1,12,0.000,0.000,0.000,0.000,0.000
ScnDA,110011_N1,13,0.000,0.000,0.000,0.000,0.000
ScnDA,110011_N1,14,0.000,0.000,0.000,0.000,0.000
ScnDA,110011_N1,15,0.000,0.000,0.000,0.000,0.000
ScnDA,110011_N1,16,0.000,0.000,0.000,0.000,0.000
ScnDA,110011_N1,17,0.000,0.000,0.000,0.000,0.000
ScnDA,110011_N1,18,0.000,0.000,0.000,0.000,0.000
ScnDA,110011_N1,19,0.000,0.000,0.000,0.000,0.000
ScnDA,110011_N1,20,0.000,0.000,0.000,0.000,0.000
ScnDA,110011_N1,21,0.000,0.000,0.000,0.000,0.000
ScnDA,110011_N1,22,0.000,0.000,0.000,0.000,0.000
ScnDA,110011_N1,23,0.000,0.000,0.000,0.000,0.000
ScnDA,110011_N1,24,0.000,0.000,0.000,0.000,0.000
ScnDA,110012_N2,1,0.000,0.000,0.000,0.000,0.000
ScnDA,110012_N2,2,0.000,0.000,0.000,0.000,0.000
ScnDA,110012_N2,3,0.000,0.000,0.000,0.000,0.000
ScnDA,110012_N2,4,0.000,0.000,0.000,0.000,0.000
ScnDA,110012_N2,5,0.000,0.000,0.000,0.000,0.000
ScnDA,110012_N2,6,0.000,0.000,0.000,0.000,0.000
ScnDA,110012_N2,7,0.000,0.000,0.000,0.000,0.000
ScnDA,110012_N2,8,0.000,0.000,0.000,0.000,0.000
ScnDA,110012_N2,9,0.000,0.000,0.000,0.000,0.000
ScnDA,110012_N2,10,0.000,0.000,0.000,0.000,0.000
ScnDA,110012_N2,11,0.000,0.000,0.000,0.000,0.000
ScnDA,110012_N2,12,0.000,0.000,0.000,0.000,0.000
ScnDA,110012_N2,13,0.000,0.000,0.000,0.000,0.000
ScnDA,110012_N2,14,0.000,0.000,0.000,0.000,0.000
ScnDA,110012_N2,15,0.000,0.000,0.000,0.000,0.000
ScnDA,110012_N2,16,0.000,0.000,0.000,0.000,0.000
ScnDA,110012_N2,17,0.000,0.000,0.000,0.000,0.000
ScnDA,110012_N2,18,0.000,0.000,0.000,0.000,0.000
