//int,StartTime,StopTime
1,2013.01.29 00:00,2013.01.29 01:00
2,2013.01.29 01:00,2013.01.29 02:00
3,2013.01.29 02:00,2013.01.29 03:00
4,2013.01.29 03:00,2013.01.29 04:00
5,2013.01.29 04:00,2013.01.29 05:00
6,2013.01.29 05:00,2013.01.29 06:00
7,2013.01.29 06:00,2013.01.29 07:00
8,2013.01.29 07:00,2013.01.29 08:00
9,2013.01.29 08:00,2013.01.29 09:00
10,2013.01.29 09:00,2013.01.29 10:00
11,2013.01.29 10:00,2013.01.29 11:00
12,2013.01.29 11:00,2013.01.29 12:00
13,2013.01.29 12:00,2013.01.29 13:00
14,2013.01.29 13:00,2013.01.29 14:00
15,2013.01.29 14:00,2013.01.29 15:00
16,2013.01.29 15:00,2013.01.29 16:00
17,2013.01.29 16:00,2013.01.29 17:00
18,2013.01.29 17:00,2013.01.29 18:00
19,2013.01.29 18:00,2013.01.29 19:00
20,2013.01.29 19:00,2013.01.29 20:00
21,2013.01.29 20:00,2013.01.29 21:00
22,2013.01.29 21:00,2013.01.29 22:00
23,2013.01.29 22:00,2013.01.29 23:00
24,2013.01.29 23:00,2013.01.30 00:00
//EOF
