//scn,ara,int,BalancePrice,LoadFlowPrice,LoadLossPrice,LoadPrice,SourceFlowPrice,SourceLossPrice,SourcePrice,Loss,LossUpdate,LossError
ScnDA,0,1,41.777,-11.329,0.000,30.448,-20.889,0.000,20.889,+0.0000e+000,+2.7457e+003,-2.7457e+003
ScnDA,0,2,47.236,-16.483,0.000,30.753,-23.618,0.000,23.618,+0.0000e+000,+2.6875e+003,-2.6875e+003
ScnDA,0,3,52.955,-21.276,0.000,31.678,-26.477,0.000,26.477,+0.0000e+000,+2.6220e+003,-2.6220e+003
ScnDA,0,4,53.798,-21.708,0.000,32.089,-26.899,0.000,26.899,+0.0000e+000,+2.5523e+003,-2.5523e+003
ScnDA,0,5,61.833,-29.520,0.000,32.313,-30.916,0.000,30.916,+0.0000e+000,+2.4159e+003,-2.4159e+003
ScnDA,0,6,64.236,-31.603,0.000,32.633,-32.118,0.000,32.118,+0.0000e+000,+2.2370e+003,-2.2370e+003
ScnDA,0,7,65.233,-32.160,0.000,33.073,-32.617,0.000,32.617,+0.0000e+000,+2.1616e+003,-2.1616e+003
ScnDA,0,8,65.369,-32.209,0.000,33.159,-32.684,0.000,32.684,+0.0000e+000,+2.1991e+003,-2.1991e+003
ScnDA,0,9,63.386,-30.371,0.000,33.015,-31.693,0.000,31.693,+0.0000e+000,+2.6809e+003,-2.6809e+003
ScnDA,0,10,5.869,24.697,0.000,30.566,-2.935,0.000,2.935,+0.0000e+000,+4.4540e+003,-4.4540e+003
ScnDA,0,11,4.366,25.883,0.000,30.249,-2.183,0.000,2.183,+0.0000e+000,+4.8340e+003,-4.8340e+003
ScnDA,0,12,4.705,24.701,0.000,29.406,-2.352,0.000,2.352,+0.0000e+000,+4.8901e+003,-4.8901e+003
ScnDA,0,13,4.163,24.807,0.000,28.969,-2.081,0.000,2.081,+0.0000e+000,+5.0155e+003,-5.0155e+003
ScnDA,0,14,4.020,24.979,0.000,28.999,-2.010,0.000,2.010,+0.0000e+000,+5.2285e+003,-5.2285e+003
ScnDA,0,15,3.297,25.093,0.000,28.390,-1.649,0.000,1.649,+0.0000e+000,+5.3518e+003,-5.3518e+003
ScnDA,0,16,2.139,26.251,0.000,28.390,-1.069,0.000,1.069,+0.0000e+000,+5.4010e+003,-5.4010e+003
ScnDA,0,17,3.323,25.624,0.000,28.947,-1.661,0.000,1.661,+0.0000e+000,+5.3619e+003,-5.3619e+003
ScnDA,0,18,8.302,21.385,0.000,29.687,-4.151,0.000,4.151,+0.0000e+000,+3.9754e+003,-3.9754e+003
ScnDA,0,19,17.298,14.122,0.000,31.420,-8.649,0.000,8.649,+0.0000e+000,+3.0445e+003,-3.0445e+003
ScnDA,0,20,28.831,2.348,0.000,31.179,-14.415,0.000,14.415,+0.0000e+000,+3.0266e+003,-3.0266e+003
ScnDA,0,21,28.648,2.504,0.000,31.152,-14.324,0.000,14.324,+0.0000e+000,+2.9934e+003,-2.9934e+003
ScnDA,0,22,29.161,1.641,0.000,30.802,-14.580,0.000,14.580,+0.0000e+000,+2.8957e+003,-2.8957e+003
ScnDA,0,23,15.936,12.840,0.000,28.775,-7.968,0.000,7.968,+0.0000e+000,+2.8826e+003,-2.8826e+003
ScnDA,0,24,15.834,12.746,0.000,28.581,-7.917,0.000,7.917,+0.0000e+000,+2.9305e+003,-2.9305e+003
ScnDA,WZ_COAST,1,41.777,-11.071,0.000,30.706,-11.463,0.000,30.314,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_COAST,2,47.236,-16.463,0.000,30.773,-16.798,0.000,30.439,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,WZ_COAST,3,52.955,-21.306,0.000,31.649,-22.027,0.000,30.928,+0.0000e+000,+0.0000e+000,+0.0000e+000
