//scn,inj,int,LMP,BalancePrice,FlowPrice,LossPrice,LossFactor,LfUpdate,LfError
ScnDA,109003_EQ,1,29.741,41.777,-12.036,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,109003_EQ,2,30.376,47.236,-16.861,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,109003_EQ,3,32.348,52.955,-20.607,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,109003_EQ,4,32.398,53.798,-21.399,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,109003_EQ,5,32.568,61.833,-29.265,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,109003_EQ,6,32.966,64.236,-31.270,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,109003_EQ,7,33.414,65.233,-31.819,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,109003_EQ,8,33.489,65.369,-31.879,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,109003_EQ,9,32.831,63.386,-30.555,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,109003_EQ,10,31.348,5.869,25.479,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,109003_EQ,11,31.610,4.366,27.244,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,109003_EQ,12,31.200,4.705,26.495,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,109003_EQ,13,31.129,4.163,26.967,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,109003_EQ,14,31.236,4.020,27.216,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,109003_EQ,15,31.187,3.297,27.889,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,109003_EQ,16,31.355,2.139,29.216,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,109003_EQ,17,31.346,3.323,28.023,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
ScnDA,109003_EQ,18,31.493,8.302,23.191,0.000,+0.0000e+000,+0.0000e+000,+0.0000e+000
