//ste,ara,nde,GenFactor,LoadFactor,ResidualLF
0,0,1,0.000,0.000,0.000
0,0,964,0.000,0.000,0.000
0,0,10010,0.000,0.001,0.000
0,0,10011,0.000,0.001,0.000
0,0,1019,0.000,0.001,0.000
0,0,1074,0.000,0.000,0.000
0,0,1080,0.000,0.000,0.000
0,0,1106,0.000,0.000,0.000
0,0,11146,0.000,0.000,0.000
0,0,18100,0.000,0.000,0.000
0,0,1086,0.000,0.000,0.000
0,0,11086,0.000,0.000,0.000
0,0,1292,0.000,0.000,0.000
0,0,37980,0.000,0.000,0.000
0,0,900914,0.000,0.000,0.000
0,0,1113,0.000,0.000,0.000
0,0,1129,0.000,0.000,0.000
0,0,1176,0.000,0.000,0.000
0,0,1180,0.000,0.000,0.000
0,0,1023,0.000,0.001,0.000
0,0,1116,0.000,0.001,0.000
0,0,11230,0.000,0.000,0.000
0,0,1132,0.000,0.000,0.000
0,0,1178,0.000,0.001,0.000
0,0,1184,0.000,0.000,0.000
0,0,1052,0.000,0.000,0.000
0,0,1128,0.000,0.000,0.000
0,0,900624,0.000,0.000,0.000
0,0,1032,0.000,0.000,0.000
0,0,1064,0.000,0.001,0.000
0,0,1332,0.000,0.000,0.000
0,0,1348,0.000,0.000,0.000
0,0,1378,0.000,0.000,0.000
0,0,104,0.000,0.000,0.000
0,0,1053,0.000,0.000,0.000
0,0,1054,0.000,0.000,0.000
0,0,1059,0.000,0.001,0.000
0,0,1117,0.000,0.001,0.000
0,0,1138,0.000,0.001,0.000
0,0,1311,0.000,0.000,0.000
0,0,180445,0.000,0.003,0.000
0,0,107,0.000,0.000,0.000
0,0,1092,0.000,0.000,0.000
0,0,1252,0.000,0.000,0.000
0,0,1296,0.000,0.000,0.000
0,0,1077,0.000,0.000,0.000
0,0,1079,0.000,0.000,0.000
0,0,1090,0.000,0.000,0.000
0,0,1081,0.000,0.000,0.000
0,0,1093,0.000,0.000,0.000
0,0,11094,0.000,0.000,0.000
0,0,1083,0.000,0.000,0.000
0,0,11079,0.000,0.001,0.000
0,0,1085,0.000,0.000,0.000
0,0,11080,0.000,0.001,0.000
0,0,900084,0.000,0.000,0.000
0,0,1088,0.000,0.000,0.000
0,0,109022,0.000,0.000,0.000
0,0,1091,0.000,0.000,0.000
0,0,1094,0.000,0.001,0.000
0,0,1096,0.000,0.000,0.000
0,0,1100,0.000,0.000,0.000
0,0,41415,0.000,0.000,0.000
0,0,110011,0.000,0.000,0.000
0,0,44010,0.000,0.000,0.000
0,0,110012,0.000,0.000,0.000
0,0,110013,0.000,0.000,0.000
0,0,110014,0.000,0.000,0.000
0,0,110015,0.000,0.001,0.000
0,0,110016,0.000,0.001,0.000
0,0,110017,0.000,0.001,0.000
0,0,110018,0.000,0.001,0.000
0,0,110019,0.000,0.000,0.000
0,0,110020,0.000,0.001,0.000
0,0,110038,0.000,0.000,0.000
0,0,110036,0.000,0.000,0.000
0,0,110037,0.000,0.000,0.000
0,0,45515,0.000,0.000,0.000
0,0,40015,0.000,0.000,0.000
0,0,40010,0.000,0.000,0.000
0,0,1101,0.000,0.000,0.000
0,0,110111,0.000,0.001,0.000
0,0,110112,0.000,0.000,0.000
0,0,110113,0.000,0.006,0.000
0,0,110114,0.000,0.001,0.000
0,0,110115,0.000,0.001,0.000
0,0,110116,0.000,0.001,0.000
0,0,110117,0.000,0.001,0.000
0,0,110128,0.000,0.001,0.000
0,0,110123,0.000,0.002,0.000
0,0,110124,0.000,0.002,0.000
0,0,110125,0.000,0.002,0.000
0,0,110130,0.000,0.001,0.000
0,0,110131,0.000,0.000,0.000
0,0,110155,0.000,0.004,0.000
0,0,110135,0.000,0.001,0.000
0,0,110137,0.000,0.001,0.000
0,0,110139,0.000,0.001,0.000
0,0,110147,0.000,0.001,0.000
0,0,110143,0.000,0.001,0.000
0,0,110145,0.000,0.003,0.000
0,0,110150,0.000,0.000,0.000
0,0,110151,0.000,0.000,0.000
0,0,110152,0.000,0.001,0.000
0,0,1102,0.000,0.000,0.000
0,0,110206,0.000,0.000,0.000
0,0,110261,0.000,0.000,0.000
0,0,43340,0.000,0.000,0.000
0,0,110279,0.000,0.005,0.000
0,0,1104,0.000,0.000,0.000
0,0,110375,0.000,0.001,0.000
0,0,110376,0.000,0.002,0.000
0,0,110377,0.000,0.002,0.000
0,0,110382,0.000,0.001,0.000
0,0,110371,0.000,0.000,0.000
0,0,110373,0.000,0.000,0.000
0,0,110384,0.000,0.001,0.000
0,0,110463,0.000,0.007,0.000
0,0,110458,0.000,0.000,0.000
0,0,110461,0.000,0.000,0.000
0,0,110462,0.000,0.000,0.000
0,0,110473,0.000,0.001,0.000
0,0,110468,0.000,0.000,0.000
0,0,110470,0.000,0.000,0.000
0,0,110506,0.000,0.005,0.000
0,0,110508,0.000,0.001,0.000
0,0,110509,0.000,0.001,0.000
0,0,110523,0.000,0.000,0.000
0,0,110522,0.000,0.000,0.000
0,0,110525,0.000,0.000,0.000
0,0,110524,0.000,0.000,0.000
0,0,110563,0.000,0.000,0.000
0,0,110564,0.000,0.000,0.000
0,0,1108,0.000,0.000,0.000
0,0,110605,0.000,0.000,0.000
0,0,110661,0.000,0.000,0.000
0,0,110663,0.000,0.000,0.000
0,0,110682,0.000,0.000,0.000
0,0,110683,0.000,0.000,0.000
0,0,110691,0.000,0.000,0.000
0,0,110692,0.000,0.000,0.000
0,0,110685,0.000,0.000,0.000
